TBepi3207.genome.CDS.1790,group01672
TBepi3207.genome.CDS.2230,group00168
TBepi3207.genome.CDS.2233,group00164
TBepi3207.genome.CDS.2232,group00195
TBepi3207.genome.CDS.2235,group00182
TBepi3207.genome.CDS.2234,group00075
TBepi3207.genome.CDS.1539,group00184
TBepi3207.genome.CDS.1538,group01356
TBepi3207.genome.CDS.2239,group00028
TBepi3207.genome.CDS.1536,group00206
TBepi3207.genome.CDS.2525,group01457
TBepi3207.genome.CDS.1534,group01014
TBepi3207.genome.CDS.1533,group00718
TBepi3207.genome.CDS.1532,group00410
TBepi3207.genome.CDS.1531,group00333
TBepi3207.genome.CDS.1530,group00050
TBepi3207.genome.CDS.2338,group00010
TBepi3207.genome.CDS.2339,group00049
TBepi3207.genome.CDS.1958,group01940
TBepi3207.genome.CDS.2330,group00644
TBepi3207.genome.CDS.2331,group00005
TBepi3207.genome.CDS.2332,group00822
TBepi3207.genome.CDS.2333,group00615
TBepi3207.genome.CDS.2334,group00763
TBepi3207.genome.CDS.2335,group00662
TBepi3207.genome.CDS.2336,group00540
TBepi3207.genome.CDS.2337,group00541
TBepi3207.genome.CDS.1611,group00325
TBepi3207.genome.CDS.2237,group00915
TBepi3207.genome.CDS.2524,group01457
TBepi3207.genome.CDS.1678,group01956
TBepi3207.genome.CDS.2236,group00211
TBepi3207.genome.CDS.1679,group01578
TBepi3207.genome.CDS.1906,group00161
TBepi3207.genome.CDS.1537,group00320
TBepi3207.genome.CDS.1904,group00232
TBepi3207.genome.CDS.1905,group00562
TBepi3207.genome.CDS.1902,group00966
TBepi3207.genome.CDS.1903,group00814
TBepi3207.genome.CDS.1900,group00224
TBepi3207.genome.CDS.2238,group00452
TBepi3207.genome.CDS.1535,group00217
TBepi3207.genome.CDS.1908,group00341
TBepi3207.genome.CDS.1909,group00625
TBepi3207.genome.CDS.2055,group01357
TBepi3207.genome.CDS.2054,group01213
TBepi3207.genome.CDS.2057,group00785
TBepi3207.genome.CDS.2056,group01325
TBepi3207.genome.CDS.2051,group00574
TBepi3207.genome.CDS.2050,group01063
TBepi3207.genome.CDS.2231,group00078
TBepi3207.genome.CDS.2052,group00353
TBepi3207.genome.CDS.1808,group00070
TBepi3207.genome.CDS.2059,group01274
TBepi3207.genome.CDS.2058,group00678
TBepi3207.genome.CDS.1807,group00583
