TBepi4208.genome.CDS.926,group00313
TBepi4208.genome.CDS.1303,group00250
TBepi4208.genome.CDS.1300,group00159
TBepi4208.genome.CDS.1301,group00160
TBepi4208.genome.CDS.1306,group00225
TBepi4208.genome.CDS.1305,group00437
TBepi4208.genome.CDS.1304,group00245
TBepi4208.genome.CDS.1769,group00259
TBepi4208.genome.CDS.1308,group00093
TBepi4208.genome.CDS.1723,group01638
TBepi4208.genome.CDS.1827,group00414
TBepi4208.genome.CDS.1826,group00235
TBepi4208.genome.CDS.1825,group00200
TBepi4208.genome.CDS.1824,group00719
TBepi4208.genome.CDS.1823,group00599
TBepi4208.genome.CDS.1822,group00261
TBepi4208.genome.CDS.1821,group00031
TBepi4208.genome.CDS.1419,group01108
TBepi4208.genome.CDS.1416,group02016
TBepi4208.genome.CDS.1417,group01453
TBepi4208.genome.CDS.1414,group00700
TBepi4208.genome.CDS.859,group04769
TBepi4208.genome.CDS.1412,group00100
TBepi4208.genome.CDS.1413,group00099
TBepi4208.genome.CDS.1829,group00823
TBepi4208.genome.CDS.1828,group00413
TBepi4208.genome.CDS.1788,group00763
TBepi4208.genome.CDS.1789,group00615
TBepi4208.genome.CDS.1786,group00049
TBepi4208.genome.CDS.1787,group00662
TBepi4208.genome.CDS.1784,group02670
TBepi4208.genome.CDS.1785,group04762
TBepi4208.genome.CDS.1782,group01046
TBepi4208.genome.CDS.1783,group02114
TBepi4208.genome.CDS.1780,group01598
TBepi4208.genome.CDS.1781,group04763
TBepi4208.genome.CDS.1236,group01123
TBepi4208.genome.CDS.1237,group00289
TBepi4208.genome.CDS.1234,group01012
TBepi4208.genome.CDS.1235,group01149
TBepi4208.genome.CDS.1232,group00016
TBepi4208.genome.CDS.1233,group00984
TBepi4208.genome.CDS.1230,group00342
TBepi4208.genome.CDS.1231,group00004
TBepi4208.genome.CDS.1238,group00006
TBepi4208.genome.CDS.1472,group00418
TBepi4208.genome.CDS.638,group00618
TBepi4208.genome.CDS.1609,group00115
TBepi4208.genome.CDS.1608,group00172
TBepi4208.genome.CDS.1607,group00145
TBepi4208.genome.CDS.1606,group01004
TBepi4208.genome.CDS.1605,group00244
TBepi4208.genome.CDS.1604,group00708
TBepi4208.genome.CDS.1603,group00312
TBepi4208.genome.CDS.1602,group00458
TBepi4208.genome.CDS.1601,group00887
TBepi4208.genome.CDS.1600,group00088
TBepi4208.genome.CDS.1302,group00219
TBepi4208.genome.CDS.1739,group00726
TBepi4208.genome.CDS.1738,group00270
TBepi4208.genome.CDS.36,group01676
TBepi4208.genome.CDS.1733,group00550
TBepi4208.genome.CDS.1732,group00617
TBepi4208.genome.CDS.1731,group00551
TBepi4208.genome.CDS.1730,group00710
TBepi4208.genome.CDS.1737,group00762
TBepi4208.genome.CDS.1736,group01075
TBepi4208.genome.CDS.1735,group00474
TBepi4208.genome.CDS.1734,group00393
TBepi4208.genome.CDS.2028,group00436
TBepi4208.genome.CDS.1307,group00055
TBepi4208.genome.CDS.1045,group00324
TBepi4208.genome.CDS.1044,group00701
TBepi4208.genome.CDS.1047,group00063
TBepi4208.genome.CDS.1046,group00082
TBepi4208.genome.CDS.1041,group00797
TBepi4208.genome.CDS.1040,group00391
TBepi4208.genome.CDS.1043,group00685
TBepi4208.genome.CDS.1057,group00252
TBepi4208.genome.CDS.1510,group00787
TBepi4208.genome.CDS.1123,group00651
TBepi4208.genome.CDS.1120,group00278
TBepi4208.genome.CDS.1121,group00210
TBepi4208.genome.CDS.1049,group00882
TBepi4208.genome.CDS.1048,group00048
TBepi4208.genome.CDS.1124,group00589
TBepi4208.genome.CDS.1125,group00391
TBepi4208.genome.CDS.1169,group00772
TBepi4208.genome.CDS.1309,group00092
TBepi4208.genome.CDS.1119,group00632
TBepi4208.genome.CDS.369,group04742
TBepi4208.genome.CDS.1051,group00892
TBepi4208.genome.CDS.1816,group00257
TBepi4208.genome.CDS.301,group04735
TBepi4208.genome.CDS.1632,group00760
TBepi4208.genome.CDS.1058,group00376
TBepi4208.genome.CDS.243,group01148
TBepi4208.genome.CDS.856,group00576
