MEint3864.genome.CDS.832,group00589
MEint3864.genome.CDS.833,group00391
MEint3864.genome.CDS.830,group00783
MEint3864.genome.CDS.831,group00651
MEint3864.genome.CDS.836,group00043
MEint3864.genome.CDS.837,group01472
MEint3864.genome.CDS.834,group00797
MEint3864.genome.CDS.835,group02871
MEint3864.genome.CDS.838,group00903
MEint3864.genome.CDS.839,group00877
MEint3864.genome.CDS.1312,group00476
MEint3864.genome.CDS.1258,group00720
MEint3864.genome.CDS.848,group00078
MEint3864.genome.CDS.1259,group00519
MEint3864.genome.CDS.1036,group02468
MEint3864.genome.CDS.850,group00513
MEint3864.genome.CDS.1034,group01727
MEint3864.genome.CDS.1035,group01284
MEint3864.genome.CDS.1032,group00886
MEint3864.genome.CDS.1033,group01106
MEint3864.genome.CDS.1030,group01742
MEint3864.genome.CDS.1031,group00789
MEint3864.genome.CDS.1562,group00518
MEint3864.genome.CDS.1038,group00842
MEint3864.genome.CDS.1039,group01586
MEint3864.genome.CDS.1563,group00867
MEint3864.genome.CDS.1564,group00162
MEint3864.genome.CDS.855,group00487
MEint3864.genome.CDS.1566,group01149
MEint3864.genome.CDS.1567,group01012
MEint3864.genome.CDS.858,group00793
MEint3864.genome.CDS.1450,group00717
MEint3864.genome.CDS.859,group01231
MEint3864.genome.CDS.1245,group00133
MEint3864.genome.CDS.1244,group00220
MEint3864.genome.CDS.1328,group00617
MEint3864.genome.CDS.1246,group00975
MEint3864.genome.CDS.1241,group01946
MEint3864.genome.CDS.1360,group00611
MEint3864.genome.CDS.1243,group00459
MEint3864.genome.CDS.1242,group00237
MEint3864.genome.CDS.1322,group01289
MEint3864.genome.CDS.1323,group00503
MEint3864.genome.CDS.1320,group00929
MEint3864.genome.CDS.1321,group01024
MEint3864.genome.CDS.1326,group01606
MEint3864.genome.CDS.1248,group00461
MEint3864.genome.CDS.1324,group00094
MEint3864.genome.CDS.1325,group04061
MEint3864.genome.CDS.1476,group00811
MEint3864.genome.CDS.1477,group00880
MEint3864.genome.CDS.904,group00654
MEint3864.genome.CDS.905,group00455
MEint3864.genome.CDS.1472,group00769
MEint3864.genome.CDS.903,group00578
MEint3864.genome.CDS.900,group00049
MEint3864.genome.CDS.1471,group00222
MEint3864.genome.CDS.1577,group04068
MEint3864.genome.CDS.1576,group00580
MEint3864.genome.CDS.1575,group00523
MEint3864.genome.CDS.1574,group00457
MEint3864.genome.CDS.1573,group00282
MEint3864.genome.CDS.1572,group01161
MEint3864.genome.CDS.908,group00226
MEint3864.genome.CDS.909,group00905
MEint3864.genome.CDS.1368,group00726
MEint3864.genome.CDS.348,group00648
MEint3864.genome.CDS.1528,group00714
MEint3864.genome.CDS.1369,group00650
MEint3864.genome.CDS.991,group00143
MEint3864.genome.CDS.990,group00485
MEint3864.genome.CDS.993,group00456
MEint3864.genome.CDS.992,group00571
MEint3864.genome.CDS.995,group00189
MEint3864.genome.CDS.994,group00476
MEint3864.genome.CDS.997,group00068
MEint3864.genome.CDS.996,group00047
MEint3864.genome.CDS.999,group00064
MEint3864.genome.CDS.926,group00289
MEint3864.genome.CDS.1148,group01046
MEint3864.genome.CDS.1149,group00403
MEint3864.genome.CDS.1146,group00694
MEint3864.genome.CDS.1147,group01092
MEint3864.genome.CDS.1145,group00809
MEint3864.genome.CDS.1142,group00997
MEint3864.genome.CDS.1143,group00473
MEint3864.genome.CDS.1140,group01107
MEint3864.genome.CDS.1141,group00803
MEint3864.genome.CDS.1112,group00870
MEint3864.genome.CDS.584,group01226
MEint3864.genome.CDS.1550,group00562
MEint3864.genome.CDS.318,group04051
MEint3864.genome.CDS.1029,group01034
MEint3864.genome.CDS.867,group00586
MEint3864.genome.CDS.1489,group00569
MEint3864.genome.CDS.1588,group00616
MEint3864.genome.CDS.1589,group00595
MEint3864.genome.CDS.1586,group01785
MEint3864.genome.CDS.1587,group01338
MEint3864.genome.CDS.1584,group01495
MEint3864.genome.CDS.1585,group00027
MEint3864.genome.CDS.1582,group01707
MEint3864.genome.CDS.1583,group01487
MEint3864.genome.CDS.1580,group01205
MEint3864.genome.CDS.1581,group01159
MEint3864.genome.CDS.800,group04059
MEint3864.genome.CDS.813,group00382
MEint3864.genome.CDS.869,group00421
MEint3864.genome.CDS.943,group00186
MEint3864.genome.CDS.940,group00146
MEint3864.genome.CDS.941,group00126
MEint3864.genome.CDS.946,group00999
MEint3864.genome.CDS.947,group00363
MEint3864.genome.CDS.944,group00284
MEint3864.genome.CDS.945,group00382
MEint3864.genome.CDS.861,group00371
MEint3864.genome.CDS.860,group00247
MEint3864.genome.CDS.1531,group01776
MEint3864.genome.CDS.862,group00213
MEint3864.genome.CDS.865,group00969
MEint3864.genome.CDS.1536,group00938
MEint3864.genome.CDS.1535,group00228
MEint3864.genome.CDS.866,group00834
MEint3864.genome.CDS.1461,group00366
MEint3864.genome.CDS.1366,group00911
MEint3864.genome.CDS.1367,group00270
MEint3864.genome.CDS.1364,group00883
MEint3864.genome.CDS.1365,group00788
MEint3864.genome.CDS.1362,group00764
MEint3864.genome.CDS.1363,group02868
MEint3864.genome.CDS.1049,group01277
MEint3864.genome.CDS.1048,group01921
MEint3864.genome.CDS.1047,group02863
MEint3864.genome.CDS.1046,group01114
MEint3864.genome.CDS.1045,group02056
MEint3864.genome.CDS.1044,group01874
MEint3864.genome.CDS.1043,group01328
MEint3864.genome.CDS.1042,group01573
MEint3864.genome.CDS.1041,group00009
MEint3864.genome.CDS.1040,group02791
MEint3864.genome.CDS.1281,group00175
MEint3864.genome.CDS.1280,group00091
MEint3864.genome.CDS.1283,group00434
MEint3864.genome.CDS.1282,group01189
MEint3864.genome.CDS.1285,group01738
MEint3864.genome.CDS.1284,group01208
MEint3864.genome.CDS.1287,group01096
MEint3864.genome.CDS.1286,group00033
MEint3864.genome.CDS.1289,group00259
MEint3864.genome.CDS.1288,group01055
MEint3864.genome.CDS.1083,group01184
MEint3864.genome.CDS.1129,group00095
MEint3864.genome.CDS.1081,group00167
MEint3864.genome.CDS.1361,group00715
MEint3864.genome.CDS.1080,group02621
MEint3864.genome.CDS.894,group00132
MEint3864.genome.CDS.895,group00127
MEint3864.genome.CDS.1218,group02144
MEint3864.genome.CDS.1219,group00437
MEint3864.genome.CDS.890,group00131
MEint3864.genome.CDS.891,group00781
MEint3864.genome.CDS.892,group00567
MEint3864.genome.CDS.893,group00155
MEint3864.genome.CDS.1212,group00084
MEint3864.genome.CDS.1213,group00627
MEint3864.genome.CDS.1210,group00188
MEint3864.genome.CDS.1211,group00086
MEint3864.genome.CDS.898,group01409
MEint3864.genome.CDS.899,group00010
MEint3864.genome.CDS.1214,group04057
MEint3864.genome.CDS.1215,group02578
MEint3864.genome.CDS.844,group01097
MEint3864.genome.CDS.1409,group00821
MEint3864.genome.CDS.1408,group01823
MEint3864.genome.CDS.1407,group00020
MEint3864.genome.CDS.1406,group00021
MEint3864.genome.CDS.1405,group00838
MEint3864.genome.CDS.1404,group01124
MEint3864.genome.CDS.1403,group01524
MEint3864.genome.CDS.1402,group00021
MEint3864.genome.CDS.1401,group00838
MEint3864.genome.CDS.1400,group01124
MEint3864.genome.CDS.1123,group00048
MEint3864.genome.CDS.896,group00878
MEint3864.genome.CDS.951,group00482
MEint3864.genome.CDS.1216,group00245
MEint3864.genome.CDS.1279,group00198
MEint3864.genome.CDS.1217,group02643
MEint3864.genome.CDS.1470,group00876
MEint3864.genome.CDS.1137,group00352
MEint3864.genome.CDS.1136,group00479
MEint3864.genome.CDS.961,group00113
MEint3864.genome.CDS.1134,group01343
MEint3864.genome.CDS.1133,group00598
MEint3864.genome.CDS.1132,group04052
MEint3864.genome.CDS.1131,group02866
MEint3864.genome.CDS.1130,group04053
MEint3864.genome.CDS.1139,group01378
MEint3864.genome.CDS.1138,group01677
MEint3864.genome.CDS.825,group00106
MEint3864.genome.CDS.824,group00299
MEint3864.genome.CDS.827,group01772
MEint3864.genome.CDS.826,group00104
MEint3864.genome.CDS.821,group00381
MEint3864.genome.CDS.820,group00257
MEint3864.genome.CDS.823,group00657
MEint3864.genome.CDS.822,group00136
MEint3864.genome.CDS.1443,group00117
MEint3864.genome.CDS.829,group00210
MEint3864.genome.CDS.1247,group00879
MEint3864.genome.CDS.1329,group00550
MEint3864.genome.CDS.1240,group00322
MEint3864.genome.CDS.1009,group00236
MEint3864.genome.CDS.1008,group00022
MEint3864.genome.CDS.1003,group02380
MEint3864.genome.CDS.1002,group01235
MEint3864.genome.CDS.1001,group01199
MEint3864.genome.CDS.1000,group00970
MEint3864.genome.CDS.1007,group01018
MEint3864.genome.CDS.1006,group01039
MEint3864.genome.CDS.1005,group00827
MEint3864.genome.CDS.1004,group00003
MEint3864.genome.CDS.919,group00316
MEint3864.genome.CDS.918,group01126
MEint3864.genome.CDS.1449,group00239
MEint3864.genome.CDS.1448,group00271
MEint3864.genome.CDS.911,group00060
MEint3864.genome.CDS.1442,group01080
MEint3864.genome.CDS.1441,group00981
MEint3864.genome.CDS.912,group00057
MEint3864.genome.CDS.1447,group04062
MEint3864.genome.CDS.914,group00002
MEint3864.genome.CDS.1445,group01863
MEint3864.genome.CDS.1444,group04063
MEint3864.genome.CDS.1256,group00565
MEint3864.genome.CDS.1257,group00837
MEint3864.genome.CDS.1254,group00564
MEint3864.genome.CDS.1255,group01045
MEint3864.genome.CDS.1252,group00445
MEint3864.genome.CDS.1253,group00268
MEint3864.genome.CDS.1319,group00396
MEint3864.genome.CDS.907,group02352
MEint3864.genome.CDS.1317,group00817
MEint3864.genome.CDS.1316,group00978
MEint3864.genome.CDS.1315,group01028
MEint3864.genome.CDS.1314,group00135
MEint3864.genome.CDS.1313,group00456
MEint3864.genome.CDS.1474,group00722
MEint3864.genome.CDS.1311,group00189
MEint3864.genome.CDS.1310,group00047
MEint3864.genome.CDS.1560,group04066
MEint3864.genome.CDS.851,group00292
MEint3864.genome.CDS.852,group00124
MEint3864.genome.CDS.853,group00003
MEint3864.genome.CDS.854,group00001
MEint3864.genome.CDS.1565,group00858
MEint3864.genome.CDS.856,group01082
MEint3864.genome.CDS.857,group00496
MEint3864.genome.CDS.1568,group00984
MEint3864.genome.CDS.1569,group00016
MEint3864.genome.CDS.1578,group01642
MEint3864.genome.CDS.1473,group00964
