AAA024D14.genome.CDS.1320,group00945
AAA024D14.genome.CDS.1321,group00944
AAA024D14.genome.CDS.982,group00454
AAA024D14.genome.CDS.983,group00384
AAA024D14.genome.CDS.1081,group02878
AAA024D14.genome.CDS.1080,group00670
AAA024D14.genome.CDS.1036,group00361
AAA024D14.genome.CDS.823,group00626
AAA024D14.genome.CDS.1428,group03486
AAA024D14.genome.CDS.836,group00335
AAA024D14.genome.CDS.837,group00120
AAA024D14.genome.CDS.834,group00166
AAA024D14.genome.CDS.835,group00125
AAA024D14.genome.CDS.832,group00085
AAA024D14.genome.CDS.833,group00041
AAA024D14.genome.CDS.830,group00077
AAA024D14.genome.CDS.831,group00019
AAA024D14.genome.CDS.839,group00040
AAA024D14.genome.CDS.1282,group01643
AAA024D14.genome.CDS.1427,group03487
AAA024D14.genome.CDS.1404,group03500
AAA024D14.genome.CDS.1426,group03488
AAA024D14.genome.CDS.1466,group00076
AAA024D14.genome.CDS.1407,group02955
AAA024D14.genome.CDS.1420,group02956
AAA024D14.genome.CDS.1447,group00596
AAA024D14.genome.CDS.1194,group00005
AAA024D14.genome.CDS.1445,group00689
AAA024D14.genome.CDS.1444,group00521
AAA024D14.genome.CDS.1443,group01027
AAA024D14.genome.CDS.1442,group00374
AAA024D14.genome.CDS.1193,group01252
AAA024D14.genome.CDS.1192,group00674
AAA024D14.genome.CDS.1199,group00012
AAA024D14.genome.CDS.1198,group01281
AAA024D14.genome.CDS.1449,group01211
AAA024D14.genome.CDS.1448,group00579
AAA024D14.genome.CDS.908,group00803
AAA024D14.genome.CDS.909,group01107
AAA024D14.genome.CDS.902,group00604
AAA024D14.genome.CDS.903,group00694
AAA024D14.genome.CDS.900,group01092
AAA024D14.genome.CDS.901,group00603
AAA024D14.genome.CDS.906,group00473
AAA024D14.genome.CDS.907,group00997
AAA024D14.genome.CDS.904,group00809
AAA024D14.genome.CDS.905,group00648
AAA024D14.genome.CDS.1168,group00329
AAA024D14.genome.CDS.1042,group00905
AAA024D14.genome.CDS.669,group01753
AAA024D14.genome.CDS.1040,group00060
AAA024D14.genome.CDS.1047,group00750
AAA024D14.genome.CDS.1046,group01086
AAA024D14.genome.CDS.1045,group00226
AAA024D14.genome.CDS.1044,group00497
AAA024D14.genome.CDS.1160,group01823
AAA024D14.genome.CDS.1161,group00513
AAA024D14.genome.CDS.1162,group00292
AAA024D14.genome.CDS.1163,group00124
AAA024D14.genome.CDS.708,group00460
AAA024D14.genome.CDS.1165,group00373
AAA024D14.genome.CDS.1166,group00204
AAA024D14.genome.CDS.1167,group00450
AAA024D14.genome.CDS.1414,group03495
AAA024D14.genome.CDS.1415,group03494
AAA024D14.genome.CDS.1140,group00832
AAA024D14.genome.CDS.1612,group02884
AAA024D14.genome.CDS.1341,group00820
AAA024D14.genome.CDS.1342,group00824
AAA024D14.genome.CDS.1343,group00764
AAA024D14.genome.CDS.1616,group03513
AAA024D14.genome.CDS.1345,group00611
AAA024D14.genome.CDS.1614,group03515
AAA024D14.genome.CDS.1615,group03514
AAA024D14.genome.CDS.1348,group01901
AAA024D14.genome.CDS.1146,group00230
AAA024D14.genome.CDS.1618,group00190
AAA024D14.genome.CDS.1619,group00178
AAA024D14.genome.CDS.968,group00073
AAA024D14.genome.CDS.1412,group02454
AAA024D14.genome.CDS.1187,group01022
AAA024D14.genome.CDS.1413,group03496
AAA024D14.genome.CDS.1366,group00150
AAA024D14.genome.CDS.1509,group00782
AAA024D14.genome.CDS.1298,group03483
AAA024D14.genome.CDS.1299,group02888
AAA024D14.genome.CDS.1296,group03484
AAA024D14.genome.CDS.1297,group02173
AAA024D14.genome.CDS.1294,group01785
AAA024D14.genome.CDS.1295,group02042
AAA024D14.genome.CDS.1292,group01495
AAA024D14.genome.CDS.1293,group00027
