AAA041L13.genome.CDS.4,group01117
AAA041L13.genome.CDS.1614,group00825
AAA041L13.genome.CDS.1615,group00045
AAA041L13.genome.CDS.1616,group00637
AAA041L13.genome.CDS.1617,group01031
AAA041L13.genome.CDS.1610,group00575
AAA041L13.genome.CDS.1611,group01049
AAA041L13.genome.CDS.1612,group00681
AAA041L13.genome.CDS.1613,group00629
AAA041L13.genome.CDS.1939,group00442
AAA041L13.genome.CDS.1618,group00841
AAA041L13.genome.CDS.1619,group00581
AAA041L13.genome.CDS.2373,group00650
AAA041L13.genome.CDS.1832,group00871
AAA041L13.genome.CDS.2278,group00653
AAA041L13.genome.CDS.1934,group00730
AAA041L13.genome.CDS.1838,group00729
AAA041L13.genome.CDS.2272,group01124
AAA041L13.genome.CDS.1508,group01618
AAA041L13.genome.CDS.1509,group01440
AAA041L13.genome.CDS.2378,group00483
AAA041L13.genome.CDS.1500,group00019
AAA041L13.genome.CDS.1501,group00077
AAA041L13.genome.CDS.1502,group00922
AAA041L13.genome.CDS.1503,group02364
AAA041L13.genome.CDS.1504,group00941
AAA041L13.genome.CDS.1505,group01133
AAA041L13.genome.CDS.1506,group02452
AAA041L13.genome.CDS.1507,group01663
AAA041L13.genome.CDS.1184,group04473
AAA041L13.genome.CDS.1160,group04462
AAA041L13.genome.CDS.1768,group00318
AAA041L13.genome.CDS.1769,group00477
AAA041L13.genome.CDS.1764,group00436
AAA041L13.genome.CDS.1765,group00431
AAA041L13.genome.CDS.744,group02549
AAA041L13.genome.CDS.1767,group00426
AAA041L13.genome.CDS.1760,group00271
AAA041L13.genome.CDS.1761,group00239
AAA041L13.genome.CDS.1762,group00717
AAA041L13.genome.CDS.1763,group00089
AAA041L13.genome.CDS.2483,group02522
AAA041L13.genome.CDS.2062,group01616
AAA041L13.genome.CDS.2063,group01473
AAA041L13.genome.CDS.2060,group00422
AAA041L13.genome.CDS.2061,group00530
AAA041L13.genome.CDS.2064,group01251
AAA041L13.genome.CDS.2065,group01130
AAA041L13.genome.CDS.2068,group00584
AAA041L13.genome.CDS.2069,group00519
AAA041L13.genome.CDS.2664,group04475
AAA041L13.genome.CDS.2665,group04474
AAA041L13.genome.CDS.2666,group01158
AAA041L13.genome.CDS.2667,group01957
AAA041L13.genome.CDS.2844,group04543
AAA041L13.genome.CDS.2661,group04466
AAA041L13.genome.CDS.2662,group04465
AAA041L13.genome.CDS.2663,group01304
AAA041L13.genome.CDS.2848,group02543
AAA041L13.genome.CDS.2849,group04547
AAA041L13.genome.CDS.2668,group02447
AAA041L13.genome.CDS.2669,group00922
AAA041L13.genome.CDS.724,group04311
AAA041L13.genome.CDS.725,group04310
AAA041L13.genome.CDS.2206,group02548
AAA041L13.genome.CDS.2207,group00369
AAA041L13.genome.CDS.2204,group04362
AAA041L13.genome.CDS.2205,group02806
AAA041L13.genome.CDS.2202,group04364
AAA041L13.genome.CDS.2203,group04363
AAA041L13.genome.CDS.2200,group02503
AAA041L13.genome.CDS.1785,group00741
AAA041L13.genome.CDS.2208,group04361
AAA041L13.genome.CDS.2209,group04360
AAA041L13.genome.CDS.2196,group01949
AAA041L13.genome.CDS.2197,group01949
AAA041L13.genome.CDS.2194,group02549
AAA041L13.genome.CDS.2195,group01949
AAA041L13.genome.CDS.2192,group04367
AAA041L13.genome.CDS.2193,group04366
AAA041L13.genome.CDS.2190,group02544
AAA041L13.genome.CDS.2191,group02543
AAA041L13.genome.CDS.2198,group04365
AAA041L13.genome.CDS.2199,group02503
AAA041L13.genome.CDS.2338,group00661
AAA041L13.genome.CDS.2339,group00713
AAA041L13.genome.CDS.2448,group00926
AAA041L13.genome.CDS.2449,group02807
AAA041L13.genome.CDS.2444,group01064
AAA041L13.genome.CDS.2445,group00967
AAA041L13.genome.CDS.2330,group02519
AAA041L13.genome.CDS.2447,group00971
AAA041L13.genome.CDS.2440,group01748
AAA041L13.genome.CDS.2337,group00112
AAA041L13.genome.CDS.2442,group01193
AAA041L13.genome.CDS.2335,group00986
AAA041L13.genome.CDS.1971,group02031
AAA041L13.genome.CDS.1970,group02177
AAA041L13.genome.CDS.2688,group00690
AAA041L13.genome.CDS.2689,group04479
AAA041L13.genome.CDS.1975,group01334
AAA041L13.genome.CDS.1974,group04297
AAA041L13.genome.CDS.1977,group01463
AAA041L13.genome.CDS.1976,group01398
AAA041L13.genome.CDS.2682,group01059
AAA041L13.genome.CDS.2683,group00796
AAA041L13.genome.CDS.2680,group04477
AAA041L13.genome.CDS.2681,group00310
AAA041L13.genome.CDS.2686,group00947
AAA041L13.genome.CDS.2687,group00614
AAA041L13.genome.CDS.2684,group00849
AAA041L13.genome.CDS.2685,group00007
AAA041L13.genome.CDS.14,group01753
AAA041L13.genome.CDS.1885,group00412
AAA041L13.genome.CDS.1884,group00296
AAA041L13.genome.CDS.1887,group00227
AAA041L13.genome.CDS.1886,group00297
AAA041L13.genome.CDS.1881,group00376
AAA041L13.genome.CDS.1883,group00366
AAA041L13.genome.CDS.1882,group00252
AAA041L13.genome.CDS.1889,group00444
AAA041L13.genome.CDS.1888,group00892
AAA041L13.genome.CDS.2530,group00236
AAA041L13.genome.CDS.2531,group00761
AAA041L13.genome.CDS.2532,group00933
AAA041L13.genome.CDS.2534,group00207
