MEint885.genome.CDS.1082,group00244
MEint885.genome.CDS.1083,group00708
MEint885.genome.CDS.1080,group00145
MEint885.genome.CDS.1081,group01004
MEint885.genome.CDS.1086,group00550
MEint885.genome.CDS.1087,group00617
MEint885.genome.CDS.1084,group00312
MEint885.genome.CDS.1085,group00458
MEint885.genome.CDS.1121,group00268
MEint885.genome.CDS.1120,group00445
MEint885.genome.CDS.1123,group01045
MEint885.genome.CDS.1089,group01528
MEint885.genome.CDS.1125,group00837
MEint885.genome.CDS.1124,group00565
MEint885.genome.CDS.1127,group00003
MEint885.genome.CDS.1126,group00001
MEint885.genome.CDS.1399,group00608
MEint885.genome.CDS.1286,group00014
MEint885.genome.CDS.1012,group04008
MEint885.genome.CDS.1318,group00877
MEint885.genome.CDS.1367,group01037
MEint885.genome.CDS.1641,group00303
MEint885.genome.CDS.1642,group00154
MEint885.genome.CDS.1643,group00902
MEint885.genome.CDS.1644,group00673
MEint885.genome.CDS.1645,group00267
MEint885.genome.CDS.1646,group00350
MEint885.genome.CDS.1647,group00609
MEint885.genome.CDS.1648,group00229
MEint885.genome.CDS.1649,group00806
MEint885.genome.CDS.1606,group01017
MEint885.genome.CDS.1088,group00551
MEint885.genome.CDS.970,group00175
MEint885.genome.CDS.971,group00091
MEint885.genome.CDS.972,group00198
MEint885.genome.CDS.973,group00419
MEint885.genome.CDS.974,group00148
MEint885.genome.CDS.975,group00092
MEint885.genome.CDS.976,group00093
MEint885.genome.CDS.977,group00055
MEint885.genome.CDS.978,group00046
MEint885.genome.CDS.979,group00015
MEint885.genome.CDS.1301,group02036
MEint885.genome.CDS.1299,group01815
MEint885.genome.CDS.1508,group00750
MEint885.genome.CDS.1368,group00418
MEint885.genome.CDS.1396,group01687
MEint885.genome.CDS.878,group00744
MEint885.genome.CDS.1394,group00016
MEint885.genome.CDS.1395,group00004
MEint885.genome.CDS.1392,group00141
MEint885.genome.CDS.1018,group00931
MEint885.genome.CDS.1390,group00491
MEint885.genome.CDS.1391,group00379
MEint885.genome.CDS.1015,group00538
MEint885.genome.CDS.1014,group00727
MEint885.genome.CDS.873,group01301
MEint885.genome.CDS.872,group01277
MEint885.genome.CDS.1011,group00028
MEint885.genome.CDS.874,group01278
MEint885.genome.CDS.1398,group01404
MEint885.genome.CDS.876,group01075
MEint885.genome.CDS.1172,group00890
MEint885.genome.CDS.1459,group00081
MEint885.genome.CDS.1458,group00142
MEint885.genome.CDS.1678,group00086
MEint885.genome.CDS.1455,group01016
MEint885.genome.CDS.1454,group00253
MEint885.genome.CDS.1457,group01066
MEint885.genome.CDS.1456,group00539
MEint885.genome.CDS.1451,group00014
MEint885.genome.CDS.1450,group01176
MEint885.genome.CDS.1453,group00832
MEint885.genome.CDS.1452,group00149
MEint885.genome.CDS.1601,group00674
MEint885.genome.CDS.271,group01039
MEint885.genome.CDS.270,group00827
MEint885.genome.CDS.1068,group04009
MEint885.genome.CDS.1069,group01366
MEint885.genome.CDS.1303,group01331
MEint885.genome.CDS.1302,group01901
MEint885.genome.CDS.1305,group01644
MEint885.genome.CDS.1304,group01000
MEint885.genome.CDS.1307,group01022
MEint885.genome.CDS.1306,group04016
MEint885.genome.CDS.1309,group00838
MEint885.genome.CDS.1061,group00234
MEint885.genome.CDS.1062,group00113
MEint885.genome.CDS.1063,group00576
MEint885.genome.CDS.1064,group01036
MEint885.genome.CDS.1065,group00770
MEint885.genome.CDS.1066,group00728
