AAA023D18.genome.CDS.834,group00573
AAA023D18.genome.CDS.1427,group00799
AAA023D18.genome.CDS.1488,group01412
AAA023D18.genome.CDS.1489,group01433
AAA023D18.genome.CDS.1486,group00330
AAA023D18.genome.CDS.1487,group00514
AAA023D18.genome.CDS.1484,group03637
AAA023D18.genome.CDS.1485,group00213
AAA023D18.genome.CDS.1482,group00290
AAA023D18.genome.CDS.1483,group03638
AAA023D18.genome.CDS.1480,group00048
AAA023D18.genome.CDS.1481,group00222
AAA023D18.genome.CDS.976,group01756
AAA023D18.genome.CDS.1038,group00326
AAA023D18.genome.CDS.952,group00559
AAA023D18.genome.CDS.953,group01194
AAA023D18.genome.CDS.950,group01866
AAA023D18.genome.CDS.951,group01142
AAA023D18.genome.CDS.956,group01324
AAA023D18.genome.CDS.957,group01143
AAA023D18.genome.CDS.954,group01263
AAA023D18.genome.CDS.955,group01353
AAA023D18.genome.CDS.958,group00663
AAA023D18.genome.CDS.959,group00682
AAA023D18.genome.CDS.836,group00038
AAA023D18.genome.CDS.1136,group00253
AAA023D18.genome.CDS.1137,group00832
AAA023D18.genome.CDS.1134,group01066
AAA023D18.genome.CDS.1135,group01234
AAA023D18.genome.CDS.1132,group00881
AAA023D18.genome.CDS.1133,group00142
AAA023D18.genome.CDS.1130,group00081
AAA023D18.genome.CDS.1425,group00252
AAA023D18.genome.CDS.833,group01006
AAA023D18.genome.CDS.1138,group00149
AAA023D18.genome.CDS.1139,group00898
AAA023D18.genome.CDS.1002,group00000
AAA023D18.genome.CDS.1003,group01650
AAA023D18.genome.CDS.1000,group00848
AAA023D18.genome.CDS.1001,group00974
AAA023D18.genome.CDS.822,group00893
AAA023D18.genome.CDS.1007,group02154
AAA023D18.genome.CDS.820,group00801
AAA023D18.genome.CDS.1005,group00626
AAA023D18.genome.CDS.835,group00529
AAA023D18.genome.CDS.1008,group01487
AAA023D18.genome.CDS.1009,group03632
AAA023D18.genome.CDS.828,group00280
AAA023D18.genome.CDS.829,group00409
AAA023D18.genome.CDS.1439,group00800
AAA023D18.genome.CDS.1438,group00666
AAA023D18.genome.CDS.1422,group00412
AAA023D18.genome.CDS.789,group01204
AAA023D18.genome.CDS.788,group01084
AAA023D18.genome.CDS.787,group01340
AAA023D18.genome.CDS.1432,group00227
AAA023D18.genome.CDS.785,group00417
AAA023D18.genome.CDS.1430,group00640
AAA023D18.genome.CDS.783,group00418
AAA023D18.genome.CDS.1068,group00491
AAA023D18.genome.CDS.781,group01463
AAA023D18.genome.CDS.1434,group00444
AAA023D18.genome.CDS.1345,group00275
AAA023D18.genome.CDS.1344,group00392
AAA023D18.genome.CDS.1347,group00134
AAA023D18.genome.CDS.1346,group00354
AAA023D18.genome.CDS.1341,group00471
AAA023D18.genome.CDS.1340,group03658
AAA023D18.genome.CDS.1343,group00012
AAA023D18.genome.CDS.1342,group00453
AAA023D18.genome.CDS.1222,group00383
AAA023D18.genome.CDS.1220,group02896
AAA023D18.genome.CDS.1221,group00942
AAA023D18.genome.CDS.1349,group00160
AAA023D18.genome.CDS.1348,group00159
AAA023D18.genome.CDS.1224,group00512
AAA023D18.genome.CDS.1225,group01397
