TBepi3475.genome.CDS.1849,group00219
TBepi3475.genome.CDS.1608,group00678
TBepi3475.genome.CDS.1609,group01274
TBepi3475.genome.CDS.1604,group00614
TBepi3475.genome.CDS.1605,group00699
TBepi3475.genome.CDS.1606,group01252
TBepi3475.genome.CDS.1607,group00674
TBepi3475.genome.CDS.1600,group03213
TBepi3475.genome.CDS.1601,group01362
TBepi3475.genome.CDS.1602,group00980
TBepi3475.genome.CDS.1603,group01003
TBepi3475.genome.CDS.1936,group00671
TBepi3475.genome.CDS.1937,group03188
TBepi3475.genome.CDS.1934,group00891
TBepi3475.genome.CDS.1932,group03189
TBepi3475.genome.CDS.1933,group00728
TBepi3475.genome.CDS.1930,group00824
TBepi3475.genome.CDS.1931,group00770
TBepi3475.genome.CDS.1938,group00311
TBepi3475.genome.CDS.1939,group03190
TBepi3475.genome.CDS.1802,group00384
TBepi3475.genome.CDS.1803,group01109
TBepi3475.genome.CDS.1800,group00840
TBepi3475.genome.CDS.1801,group00454
TBepi3475.genome.CDS.1806,group01357
TBepi3475.genome.CDS.1807,group01435
TBepi3475.genome.CDS.1804,group01139
TBepi3475.genome.CDS.1805,group01325
TBepi3475.genome.CDS.1808,group01213
TBepi3475.genome.CDS.1809,group01212
TBepi3475.genome.CDS.1668,group01010
TBepi3475.genome.CDS.1706,group00681
TBepi3475.genome.CDS.1198,group00972
TBepi3475.genome.CDS.1212,group00782
TBepi3475.genome.CDS.1079,group00271
TBepi3475.genome.CDS.1078,group00239
TBepi3475.genome.CDS.199,group00016
TBepi3475.genome.CDS.1073,group00431
TBepi3475.genome.CDS.1072,group00389
TBepi3475.genome.CDS.1071,group00426
TBepi3475.genome.CDS.1070,group00318
TBepi3475.genome.CDS.1077,group00717
TBepi3475.genome.CDS.1076,group00089
TBepi3475.genome.CDS.1075,group00436
TBepi3475.genome.CDS.1074,group01129
TBepi3475.genome.CDS.343,group00745
TBepi3475.genome.CDS.1131,group00363
TBepi3475.genome.CDS.1188,group00522
TBepi3475.genome.CDS.1709,group01338
TBepi3475.genome.CDS.1708,group01286
TBepi3475.genome.CDS.1679,group01947
TBepi3475.genome.CDS.1771,group00468
TBepi3475.genome.CDS.1772,group00030
TBepi3475.genome.CDS.1773,group00030
TBepi3475.genome.CDS.1774,group00243
TBepi3475.genome.CDS.1219,group02670
TBepi3475.genome.CDS.1777,group00908
TBepi3475.genome.CDS.1778,group00088
TBepi3475.genome.CDS.1779,group00887
TBepi3475.genome.CDS.1673,group00914
TBepi3475.genome.CDS.1672,group01240
TBepi3475.genome.CDS.1675,group03219
TBepi3475.genome.CDS.165,group02159
TBepi3475.genome.CDS.1677,group01319
TBepi3475.genome.CDS.1676,group01108
TBepi3475.genome.CDS.996,group00631
TBepi3475.genome.CDS.997,group01048
TBepi3475.genome.CDS.1116,group00226
TBepi3475.genome.CDS.1382,group00376
TBepi3475.genome.CDS.1110,group01133
TBepi3475.genome.CDS.993,group00263
TBepi3475.genome.CDS.1112,group02381
TBepi3475.genome.CDS.1113,group00455
TBepi3475.genome.CDS.1118,group00751
TBepi3475.genome.CDS.1119,group03192
TBepi3475.genome.CDS.998,group03218
TBepi3475.genome.CDS.999,group00521
TBepi3475.genome.CDS.1387,group00665
TBepi3475.genome.CDS.1147,group00737
TBepi3475.genome.CDS.965,group01193
TBepi3475.genome.CDS.964,group00990
TBepi3475.genome.CDS.1143,group03193
TBepi3475.genome.CDS.962,group00967
TBepi3475.genome.CDS.1363,group01238
TBepi3475.genome.CDS.1362,group00230
TBepi3475.genome.CDS.1361,group02679
TBepi3475.genome.CDS.1360,group02141
TBepi3475.genome.CDS.1367,group00639
TBepi3475.genome.CDS.1366,group00645
TBepi3475.genome.CDS.1364,group00368
TBepi3475.genome.CDS.1200,group00567
TBepi3475.genome.CDS.1201,group00781
TBepi3475.genome.CDS.1369,group00592
TBepi3475.genome.CDS.1203,group00100
TBepi3475.genome.CDS.1204,group01020
TBepi3475.genome.CDS.1205,group01258
TBepi3475.genome.CDS.1206,group00828
TBepi3475.genome.CDS.1207,group00428
TBepi3475.genome.CDS.1554,group00127
TBepi3475.genome.CDS.1555,group00878
TBepi3475.genome.CDS.1556,group00642
TBepi3475.genome.CDS.1557,group00205
TBepi3475.genome.CDS.1419,group00588
TBepi3475.genome.CDS.1418,group00423
TBepi3475.genome.CDS.1552,group00155
TBepi3475.genome.CDS.1553,group00132
TBepi3475.genome.CDS.1415,group00493
TBepi3475.genome.CDS.1414,group00415
TBepi3475.genome.CDS.1417,group00585
TBepi3475.genome.CDS.1416,group00600
TBepi3475.genome.CDS.1411,group00107
TBepi3475.genome.CDS.1559,group00086
