MEint2297.genome.CDS.2290,group00702
MEint2297.genome.CDS.2523,group01001
MEint2297.genome.CDS.2520,group00029
MEint2297.genome.CDS.2293,group01147
MEint2297.genome.CDS.2294,group00936
MEint2297.genome.CDS.2527,group00784
MEint2297.genome.CDS.2524,group00590
MEint2297.genome.CDS.2297,group01049
MEint2297.genome.CDS.2298,group00825
MEint2297.genome.CDS.2299,group00045
MEint2297.genome.CDS.2528,group00176
MEint2297.genome.CDS.2529,group00979
MEint2297.genome.CDS.2393,group01631
MEint2297.genome.CDS.2746,group00112
MEint2297.genome.CDS.2747,group00524
MEint2297.genome.CDS.2744,group00661
MEint2297.genome.CDS.2745,group00112
MEint2297.genome.CDS.2742,group00153
MEint2297.genome.CDS.2743,group00713
MEint2297.genome.CDS.2740,group00228
MEint2297.genome.CDS.2741,group00221
MEint2297.genome.CDS.2547,group00852
MEint2297.genome.CDS.2748,group01739
MEint2297.genome.CDS.2749,group01110
MEint2297.genome.CDS.1648,group01688
MEint2297.genome.CDS.1649,group01881
MEint2297.genome.CDS.1646,group02195
MEint2297.genome.CDS.1647,group00000
MEint2297.genome.CDS.1644,group03089
MEint2297.genome.CDS.1645,group01688
MEint2297.genome.CDS.1642,group01400
MEint2297.genome.CDS.1643,group03090
MEint2297.genome.CDS.1640,group00953
MEint2297.genome.CDS.1641,group01520
MEint2297.genome.CDS.2522,group00668
MEint2297.genome.CDS.2291,group00018
MEint2297.genome.CDS.2292,group00923
MEint2297.genome.CDS.1466,group00260
MEint2297.genome.CDS.1467,group00766
MEint2297.genome.CDS.1464,group01010
MEint2297.genome.CDS.1465,group00429
MEint2297.genome.CDS.1462,group02378
MEint2297.genome.CDS.1463,group03110
MEint2297.genome.CDS.1460,group00855
MEint2297.genome.CDS.1461,group00649
MEint2297.genome.CDS.2526,group00730
MEint2297.genome.CDS.1468,group00044
MEint2297.genome.CDS.1469,group00375
MEint2297.genome.CDS.2296,group00575
MEint2297.genome.CDS.2525,group00052
MEint2297.genome.CDS.1518,group03133
MEint2297.genome.CDS.1519,group00881
MEint2297.genome.CDS.1512,group00498
MEint2297.genome.CDS.1513,group00760
MEint2297.genome.CDS.1510,group01060
MEint2297.genome.CDS.1511,group01587
MEint2297.genome.CDS.1516,group01142
MEint2297.genome.CDS.1517,group00559
MEint2297.genome.CDS.1514,group00711
MEint2297.genome.CDS.1515,group01441
MEint2297.genome.CDS.2445,group00043
MEint2297.genome.CDS.2444,group01299
MEint2297.genome.CDS.2295,group01118
MEint2297.genome.CDS.2446,group00504
MEint2297.genome.CDS.2441,group01316
MEint2297.genome.CDS.2440,group01188
MEint2297.genome.CDS.2115,group01204
MEint2297.genome.CDS.2442,group02332
MEint2297.genome.CDS.1884,group00973
MEint2297.genome.CDS.1885,group01522
MEint2297.genome.CDS.1886,group00815
MEint2297.genome.CDS.1887,group00780
MEint2297.genome.CDS.1880,group01292
MEint2297.genome.CDS.1881,group00038
MEint2297.genome.CDS.1882,group01835
MEint2297.genome.CDS.1883,group00539
MEint2297.genome.CDS.1888,group00537
MEint2297.genome.CDS.1889,group00628
MEint2297.genome.CDS.1969,group00105
MEint2297.genome.CDS.2612,group00209
MEint2297.genome.CDS.2193,group00215
MEint2297.genome.CDS.2192,group00002
MEint2297.genome.CDS.2191,group00361
MEint2297.genome.CDS.2190,group00612
MEint2297.genome.CDS.2197,group00905
MEint2297.genome.CDS.2196,group00152
MEint2297.genome.CDS.2195,group00060
MEint2297.genome.CDS.2194,group00057
MEint2297.genome.CDS.2199,group00497
MEint2297.genome.CDS.2198,group00751
MEint2297.genome.CDS.2351,group00700
MEint2297.genome.CDS.2602,group00517
MEint2297.genome.CDS.1868,group00021
MEint2297.genome.CDS.2352,group00099
MEint2297.genome.CDS.2355,group00781
MEint2297.genome.CDS.2606,group00494
MEint2297.genome.CDS.2357,group00399
MEint2297.genome.CDS.2356,group03108
MEint2297.genome.CDS.1862,group02225
MEint2297.genome.CDS.1863,group01887
MEint2297.genome.CDS.2609,group00008
MEint2297.genome.CDS.2608,group00298
MEint2297.genome.CDS.1866,group00508
MEint2297.genome.CDS.1867,group00020
MEint2297.genome.CDS.1864,group01928
MEint2297.genome.CDS.1865,group01808
MEint2297.genome.CDS.2517,group00816
MEint2297.genome.CDS.2516,group01571
MEint2297.genome.CDS.2515,group01366
MEint2297.genome.CDS.2514,group00857
MEint2297.genome.CDS.2513,group00266
MEint2297.genome.CDS.2512,group01188
MEint2297.genome.CDS.2511,group01410
MEint2297.genome.CDS.2510,group01316
MEint2297.genome.CDS.2519,group03114
MEint2297.genome.CDS.2518,group00786
MEint2297.genome.CDS.2179,group01149
MEint2297.genome.CDS.2178,group01012
MEint2297.genome.CDS.2171,group00282
MEint2297.genome.CDS.2170,group00457
MEint2297.genome.CDS.2173,group00724
MEint2297.genome.CDS.2172,group01161
MEint2297.genome.CDS.2175,group00004
MEint2297.genome.CDS.2174,group00342
MEint2297.genome.CDS.2177,group00984
MEint2297.genome.CDS.2176,group00016
MEint2297.genome.CDS.2550,group00299
MEint2297.genome.CDS.1079,group00959
MEint2297.genome.CDS.1673,group00672
MEint2297.genome.CDS.1672,group00664
MEint2297.genome.CDS.1671,group00197
MEint2297.genome.CDS.1670,group00514
MEint2297.genome.CDS.1677,group00210
MEint2297.genome.CDS.1676,group00278
MEint2297.genome.CDS.1675,group00632
MEint2297.genome.CDS.1674,group01058
MEint2297.genome.CDS.1679,group00651
MEint2297.genome.CDS.1678,group00783
MEint2297.genome.CDS.1699,group01119
MEint2297.genome.CDS.1698,group00774
MEint2297.genome.CDS.1691,group00734
MEint2297.genome.CDS.1690,group00432
MEint2297.genome.CDS.1693,group00579
MEint2297.genome.CDS.1692,group00596
MEint2297.genome.CDS.1695,group00259
MEint2297.genome.CDS.1694,group01211
MEint2297.genome.CDS.1697,group00755
MEint2297.genome.CDS.1696,group01055
MEint2297.genome.CDS.2554,group00257
MEint2297.genome.CDS.1529,group00160
MEint2297.genome.CDS.1528,group00159
MEint2297.genome.CDS.1527,group00134
MEint2297.genome.CDS.1526,group00354
MEint2297.genome.CDS.1525,group00785
MEint2297.genome.CDS.1524,group00275
MEint2297.genome.CDS.1523,group00392
MEint2297.genome.CDS.1522,group00012
MEint2297.genome.CDS.1521,group00453
MEint2297.genome.CDS.1520,group00471
MEint2297.genome.CDS.1459,group00179
MEint2297.genome.CDS.1458,group00180
MEint2297.genome.CDS.1453,group01008
MEint2297.genome.CDS.1452,group00676
MEint2297.genome.CDS.1451,group00912
MEint2297.genome.CDS.1450,group00756
MEint2297.genome.CDS.1457,group00238
MEint2297.genome.CDS.1456,group00913
MEint2297.genome.CDS.1455,group01083
MEint2297.genome.CDS.1454,group00835
MEint2297.genome.CDS.1958,group00559
MEint2297.genome.CDS.2600,group03120
MEint2297.genome.CDS.1989,group00065
MEint2297.genome.CDS.1988,group00338
MEint2297.genome.CDS.1985,group00147
MEint2297.genome.CDS.1984,group01572
MEint2297.genome.CDS.1987,group00258
MEint2297.genome.CDS.1986,group00066
MEint2297.genome.CDS.1981,group00190
MEint2297.genome.CDS.1980,group00163
MEint2297.genome.CDS.1983,group00111
MEint2297.genome.CDS.1982,group00067
MEint2297.genome.CDS.2184,group00325
MEint2297.genome.CDS.2185,group00495
MEint2297.genome.CDS.2186,group00007
MEint2297.genome.CDS.2187,group00316
MEint2297.genome.CDS.2180,group01123
MEint2297.genome.CDS.2181,group00289
MEint2297.genome.CDS.2182,group00006
MEint2297.genome.CDS.2183,group00006
MEint2297.genome.CDS.2188,group01126
MEint2297.genome.CDS.2189,group00014
MEint2297.genome.CDS.2614,group00087
MEint2297.genome.CDS.2615,group00039
MEint2297.genome.CDS.2616,group00946
MEint2297.genome.CDS.2617,group00801
MEint2297.genome.CDS.2610,group00171
MEint2297.genome.CDS.2347,group00239
MEint2297.genome.CDS.2344,group00436
MEint2297.genome.CDS.1858,group00439
MEint2297.genome.CDS.1857,group00386
MEint2297.genome.CDS.1856,group00139
MEint2297.genome.CDS.1855,group00050
MEint2297.genome.CDS.1854,group00333
MEint2297.genome.CDS.2618,group00074
MEint2297.genome.CDS.2619,group00893
MEint2297.genome.CDS.1851,group01014
MEint2297.genome.CDS.1850,group00217
MEint2297.genome.CDS.2221,group03107
MEint2297.genome.CDS.2220,group01569
MEint2297.genome.CDS.2223,group00597
MEint2297.genome.CDS.2508,group01387
MEint2297.genome.CDS.2509,group01320
MEint2297.genome.CDS.1959,group01194
MEint2297.genome.CDS.2500,group00501
MEint2297.genome.CDS.2501,group00808
MEint2297.genome.CDS.2502,group00310
MEint2297.genome.CDS.2503,group01447
MEint2297.genome.CDS.2504,group00569
MEint2297.genome.CDS.2505,group00504
