TBepi2057.genome.CDS.1399,group01349
TBepi2057.genome.CDS.1543,group01090
TBepi2057.genome.CDS.1398,group01871
TBepi2057.genome.CDS.1557,group01389
TBepi2057.genome.CDS.1556,group01110
TBepi2057.genome.CDS.1555,group00181
TBepi2057.genome.CDS.1554,group00536
TBepi2057.genome.CDS.1553,group02408
TBepi2057.genome.CDS.1552,group00018
TBepi2057.genome.CDS.1551,group00555
TBepi2057.genome.CDS.1550,group01002
TBepi2057.genome.CDS.489,group00948
TBepi2057.genome.CDS.995,group00762
TBepi2057.genome.CDS.1558,group00986
TBepi2057.genome.CDS.1896,group00285
TBepi2057.genome.CDS.1953,group00228
TBepi2057.genome.CDS.1952,group00336
TBepi2057.genome.CDS.1951,group00040
TBepi2057.genome.CDS.1950,group00110
TBepi2057.genome.CDS.1957,group00560
TBepi2057.genome.CDS.1469,group00609
TBepi2057.genome.CDS.1955,group00048
TBepi2057.genome.CDS.1954,group00063
TBepi2057.genome.CDS.360,group02107
TBepi2057.genome.CDS.1959,group00767
TBepi2057.genome.CDS.1958,group01140
TBepi2057.genome.CDS.1513,group00439
TBepi2057.genome.CDS.1392,group00385
TBepi2057.genome.CDS.400,group00306
TBepi2057.genome.CDS.1101,group00769
TBepi2057.genome.CDS.792,group02745
TBepi2057.genome.CDS.1302,group00952
TBepi2057.genome.CDS.1303,group00789
TBepi2057.genome.CDS.1300,group01584
TBepi2057.genome.CDS.1301,group00614
TBepi2057.genome.CDS.1306,group00911
TBepi2057.genome.CDS.1307,group00270
TBepi2057.genome.CDS.1304,group00883
TBepi2057.genome.CDS.1305,group00788
TBepi2057.genome.CDS.1308,group00726
TBepi2057.genome.CDS.1309,group00996
TBepi2057.genome.CDS.1827,group00638
TBepi2057.genome.CDS.1826,group00169
TBepi2057.genome.CDS.1825,group00982
TBepi2057.genome.CDS.1824,group00977
TBepi2057.genome.CDS.1823,group00059
TBepi2057.genome.CDS.1822,group00852
TBepi2057.genome.CDS.1821,group00104
TBepi2057.genome.CDS.1820,group00106
TBepi2057.genome.CDS.1416,group00155
TBepi2057.genome.CDS.1417,group00132
TBepi2057.genome.CDS.1131,group02197
TBepi2057.genome.CDS.1415,group00781
TBepi2057.genome.CDS.1412,group00099
TBepi2057.genome.CDS.1413,group00100
TBepi2057.genome.CDS.1829,group00807
TBepi2057.genome.CDS.1411,group00161
TBepi2057.genome.CDS.1929,group00055
TBepi2057.genome.CDS.1091,group00310
TBepi2057.genome.CDS.1836,group00754
TBepi2057.genome.CDS.1788,group01054
TBepi2057.genome.CDS.1789,group01986
TBepi2057.genome.CDS.1786,group00711
TBepi2057.genome.CDS.1787,group01203
TBepi2057.genome.CDS.1784,group00598
TBepi2057.genome.CDS.1785,group00760
TBepi2057.genome.CDS.1782,group01690
TBepi2057.genome.CDS.1780,group00012
TBepi2057.genome.CDS.1781,group01386
TBepi2057.genome.CDS.1236,group00473
TBepi2057.genome.CDS.1234,group00803
TBepi2057.genome.CDS.1235,group00997
TBepi2057.genome.CDS.1232,group00242
TBepi2057.genome.CDS.1233,group01107
TBepi2057.genome.CDS.1230,group00024
TBepi2057.genome.CDS.1231,group01025
TBepi2057.genome.CDS.1130,group00036
TBepi2057.genome.CDS.1095,group02404
TBepi2057.genome.CDS.1238,group00809
TBepi2057.genome.CDS.1239,group00694
TBepi2057.genome.CDS.1153,group00230
TBepi2057.genome.CDS.1609,group00012
TBepi2057.genome.CDS.1608,group01281
TBepi2057.genome.CDS.1607,group01309
TBepi2057.genome.CDS.1871,group00070
TBepi2057.genome.CDS.1605,group01648
TBepi2057.genome.CDS.1604,group01592
TBepi2057.genome.CDS.1603,group02273
TBepi2057.genome.CDS.1098,group01597
TBepi2057.genome.CDS.1601,group00063
TBepi2057.genome.CDS.1600,group00082
TBepi2057.genome.CDS.1863,group00406
TBepi2057.genome.CDS.1739,group00146
TBepi2057.genome.CDS.1738,group00126
TBepi2057.genome.CDS.1133,group01496
TBepi2057.genome.CDS.130,group00947
TBepi2057.genome.CDS.1733,group01420
TBepi2057.genome.CDS.1157,group00116
TBepi2057.genome.CDS.1731,group01459
TBepi2057.genome.CDS.1730,group00014
TBepi2057.genome.CDS.1737,group00013
TBepi2057.genome.CDS.1736,group01087
TBepi2057.genome.CDS.1735,group02742
TBepi2057.genome.CDS.1156,group00401
TBepi2057.genome.CDS.1269,group00291
TBepi2057.genome.CDS.1760,group01018
TBepi2057.genome.CDS.1528,group00540
TBepi2057.genome.CDS.1559,group00524
TBepi2057.genome.CDS.1626,group00542
TBepi2057.genome.CDS.1045,group01717
TBepi2057.genome.CDS.1044,group00525
TBepi2057.genome.CDS.1128,group00490
TBepi2057.genome.CDS.1129,group02675
TBepi2057.genome.CDS.1041,group00114
TBepi2057.genome.CDS.1040,group00578
TBepi2057.genome.CDS.1043,group00255
TBepi2057.genome.CDS.1042,group00049
TBepi2057.genome.CDS.1122,group00635
TBepi2057.genome.CDS.1120,group00001
TBepi2057.genome.CDS.1121,group00002
TBepi2057.genome.CDS.1049,group00841
TBepi2057.genome.CDS.1048,group00581
TBepi2057.genome.CDS.1124,group00427
TBepi2057.genome.CDS.1125,group00469
TBepi2057.genome.CDS.1099,group00640
TBepi2057.genome.CDS.1658,group00383
TBepi2057.genome.CDS.1902,group00603
TBepi2057.genome.CDS.1659,group00512
TBepi2057.genome.CDS.1610,group01256
TBepi2057.genome.CDS.1868,group00411
TBepi2057.genome.CDS.964,group00963
TBepi2057.genome.CDS.1758,group00546
TBepi2057.genome.CDS.1590,group00121
TBepi2057.genome.CDS.1751,group00323
TBepi2057.genome.CDS.1612,group01989
TBepi2057.genome.CDS.1870,group00054
TBepi2057.genome.CDS.1656,group00942
TBepi2057.genome.CDS.1062,group00407
TBepi2057.genome.CDS.1615,group00838
TBepi2057.genome.CDS.969,group00456
TBepi2057.genome.CDS.1616,group01124
TBepi2057.genome.CDS.1650,group00681
TBepi2057.genome.CDS.1750,group00484
TBepi2057.genome.CDS.1203,group00530
TBepi2057.genome.CDS.1619,group01113
TBepi2057.genome.CDS.1753,group00480
TBepi2057.genome.CDS.1200,group00344
TBepi2057.genome.CDS.1755,group00133
TBepi2057.genome.CDS.1360,group00621
TBepi2057.genome.CDS.1757,group00033
TBepi2057.genome.CDS.1756,group00283
TBepi2057.genome.CDS.1136,group01405
TBepi2057.genome.CDS.1956,group00402
TBepi2057.genome.CDS.1361,group00545
TBepi2057.genome.CDS.1467,group00806
TBepi2057.genome.CDS.1466,group00123
TBepi2057.genome.CDS.1464,group01042
TBepi2057.genome.CDS.1463,group01148
TBepi2057.genome.CDS.1462,group00478
TBepi2057.genome.CDS.1461,group00572
TBepi2057.genome.CDS.1460,group03140
TBepi2057.genome.CDS.1584,group00779
TBepi2057.genome.CDS.1585,group00269
TBepi2057.genome.CDS.1586,group00506
TBepi2057.genome.CDS.1587,group00507
TBepi2057.genome.CDS.1580,group00118
TBepi2057.genome.CDS.1581,group00119
TBepi2057.genome.CDS.1582,group00779
TBepi2057.genome.CDS.1468,group00229
TBepi2057.genome.CDS.1594,group00273
TBepi2057.genome.CDS.1512,group01009
TBepi2057.genome.CDS.1511,group00634
TBepi2057.genome.CDS.1510,group00516
TBepi2057.genome.CDS.1517,group01234
TBepi2057.genome.CDS.1516,group00050
TBepi2057.genome.CDS.1515,group00139
TBepi2057.genome.CDS.1888,group00376
TBepi2057.genome.CDS.1519,group00980
TBepi2057.genome.CDS.1518,group01150
TBepi2057.genome.CDS.1908,group02004
TBepi2057.genome.CDS.1909,group00180
TBepi2057.genome.CDS.1861,group00804
TBepi2057.genome.CDS.1860,group00353
TBepi2057.genome.CDS.1867,group00369
TBepi2057.genome.CDS.1866,group00416
TBepi2057.genome.CDS.1865,group00721
TBepi2057.genome.CDS.1864,group00695
TBepi2057.genome.CDS.1900,group00523
TBepi2057.genome.CDS.1901,group00580
TBepi2057.genome.CDS.1869,group00165
TBepi2057.genome.CDS.1903,group00355
TBepi2057.genome.CDS.1904,group01430
TBepi2057.genome.CDS.1905,group02104
TBepi2057.genome.CDS.1906,group00785
TBepi2057.genome.CDS.1907,group00703
TBepi2057.genome.CDS.1727,group03148
TBepi2057.genome.CDS.1767,group00962
TBepi2057.genome.CDS.1889,group00252
TBepi2057.genome.CDS.1761,group00827
TBepi2057.genome.CDS.1762,group00003
TBepi2057.genome.CDS.1763,group01126
TBepi2057.genome.CDS.1764,group00316
TBepi2057.genome.CDS.1765,group00007
TBepi2057.genome.CDS.1766,group00495
TBepi2057.genome.CDS.1880,group00050
TBepi2057.genome.CDS.1881,group00333
TBepi2057.genome.CDS.1769,group00006
TBepi2057.genome.CDS.1883,group03162
TBepi2057.genome.CDS.1882,group00410
TBepi2057.genome.CDS.1885,group00965
TBepi2057.genome.CDS.1884,group03163
