AAA278O22.genome.CDS.1833,group00711
AAA278O22.genome.CDS.2174,group00714
AAA278O22.genome.CDS.1954,group00194
AAA278O22.genome.CDS.657,group04264
AAA278O22.genome.CDS.1487,group00765
AAA278O22.genome.CDS.1893,group00894
AAA278O22.genome.CDS.1910,group00944
AAA278O22.genome.CDS.1892,group00916
AAA278O22.genome.CDS.161,group04226
AAA278O22.genome.CDS.1911,group00945
AAA278O22.genome.CDS.1958,group00387
AAA278O22.genome.CDS.1619,group00517
AAA278O22.genome.CDS.1618,group00201
AAA278O22.genome.CDS.1959,group00449
AAA278O22.genome.CDS.1307,group00689
AAA278O22.genome.CDS.1611,group01835
AAA278O22.genome.CDS.1610,group00038
AAA278O22.genome.CDS.1613,group00973
AAA278O22.genome.CDS.1612,group01071
AAA278O22.genome.CDS.1615,group00815
AAA278O22.genome.CDS.1614,group01522
AAA278O22.genome.CDS.1617,group01003
AAA278O22.genome.CDS.2318,group00141
AAA278O22.genome.CDS.2148,group04267
AAA278O22.genome.CDS.491,group04258
AAA278O22.genome.CDS.490,group02440
AAA278O22.genome.CDS.2279,group00561
AAA278O22.genome.CDS.2078,group00076
AAA278O22.genome.CDS.1178,group00283
AAA278O22.genome.CDS.1208,group00352
AAA278O22.genome.CDS.1209,group01676
AAA278O22.genome.CDS.1206,group00096
AAA278O22.genome.CDS.1207,group02140
AAA278O22.genome.CDS.1204,group01106
AAA278O22.genome.CDS.1205,group01132
AAA278O22.genome.CDS.1202,group01262
AAA278O22.genome.CDS.1203,group02636
AAA278O22.genome.CDS.1200,group00980
AAA278O22.genome.CDS.1201,group01279
AAA278O22.genome.CDS.1692,group00942
AAA278O22.genome.CDS.563,group00668
AAA278O22.genome.CDS.2291,group00320
AAA278O22.genome.CDS.1798,group01621
AAA278O22.genome.CDS.2339,group00737
AAA278O22.genome.CDS.1412,group00652
AAA278O22.genome.CDS.1739,group01018
AAA278O22.genome.CDS.1828,group01263
AAA278O22.genome.CDS.1499,group00627
AAA278O22.genome.CDS.1922,group00337
AAA278O22.genome.CDS.1826,group00647
AAA278O22.genome.CDS.2079,group00483
AAA278O22.genome.CDS.1822,group01377
AAA278O22.genome.CDS.2071,group00911
AAA278O22.genome.CDS.1764,group01032
AAA278O22.genome.CDS.2297,group00852
AAA278O22.genome.CDS.198,group00026
AAA278O22.genome.CDS.1796,group00186
AAA278O22.genome.CDS.1308,group00521
AAA278O22.genome.CDS.2073,group00726
AAA278O22.genome.CDS.1970,group00606
AAA278O22.genome.CDS.1790,group01439
AAA278O22.genome.CDS.262,group02188
AAA278O22.genome.CDS.1791,group00013
AAA278O22.genome.CDS.2052,group00048
AAA278O22.genome.CDS.2053,group00063
AAA278O22.genome.CDS.2050,group00444
AAA278O22.genome.CDS.2198,group00145
AAA278O22.genome.CDS.2056,group00129
AAA278O22.genome.CDS.1820,group01324
AAA278O22.genome.CDS.2054,group00082
AAA278O22.genome.CDS.2055,group00150
AAA278O22.genome.CDS.2193,group00097
AAA278O22.genome.CDS.2192,group00062
AAA278O22.genome.CDS.2191,group00072
AAA278O22.genome.CDS.1418,group02040
AAA278O22.genome.CDS.2197,group00172
AAA278O22.genome.CDS.1052,group04230
AAA278O22.genome.CDS.2195,group00122
AAA278O22.genome.CDS.2194,group00098
AAA278O22.genome.CDS.1403,group00073
AAA278O22.genome.CDS.873,group04266
AAA278O22.genome.CDS.2132,group00545
AAA278O22.genome.CDS.2128,group00284
AAA278O22.genome.CDS.2126,group00202
AAA278O22.genome.CDS.2127,group00306
AAA278O22.genome.CDS.2124,group00394
AAA278O22.genome.CDS.2125,group00425
AAA278O22.genome.CDS.2122,group00257
AAA278O22.genome.CDS.2123,group00362
AAA278O22.genome.CDS.2120,group00136
AAA278O22.genome.CDS.2121,group00381
AAA278O22.genome.CDS.1444,group01019
AAA278O22.genome.CDS.1333,group00305
AAA278O22.genome.CDS.1446,group00971
AAA278O22.genome.CDS.1331,group00646
AAA278O22.genome.CDS.1440,group00264
AAA278O22.genome.CDS.1441,group00808
AAA278O22.genome.CDS.1334,group00854
AAA278O22.genome.CDS.1335,group00587
AAA278O22.genome.CDS.1725,group00956
AAA278O22.genome.CDS.1724,group01735
AAA278O22.genome.CDS.1727,group01247
AAA278O22.genome.CDS.1726,group00029
AAA278O22.genome.CDS.1721,group00009
AAA278O22.genome.CDS.1449,group01064
AAA278O22.genome.CDS.1723,group00786
AAA278O22.genome.CDS.1722,group00816
AAA278O22.genome.CDS.1747,group00829
AAA278O22.genome.CDS.1927,group00433
AAA278O22.genome.CDS.2149,group00213
AAA278O22.genome.CDS.2308,group00361
AAA278O22.genome.CDS.2021,group00130
AAA278O22.genome.CDS.2276,group00624
AAA278O22.genome.CDS.2277,group00625
AAA278O22.genome.CDS.2274,group00509
AAA278O22.genome.CDS.2275,group00231
AAA278O22.genome.CDS.2272,group00542
AAA278O22.genome.CDS.2273,group00570
AAA278O22.genome.CDS.2270,group00636
AAA278O22.genome.CDS.2271,group00056
AAA278O22.genome.CDS.1843,group00941
AAA278O22.genome.CDS.1291,group01208
AAA278O22.genome.CDS.2302,group00139
AAA278O22.genome.CDS.2354,group01758
AAA278O22.genome.CDS.2336,group00496
AAA278O22.genome.CDS.1965,group00758
AAA278O22.genome.CDS.1742,group00951
AAA278O22.genome.CDS.1848,group00683
AAA278O22.genome.CDS.1849,group00981
AAA278O22.genome.CDS.1433,group00623
AAA278O22.genome.CDS.1920,group00792
AAA278O22.genome.CDS.1435,group00782
AAA278O22.genome.CDS.1926,group00613
AAA278O22.genome.CDS.1925,group01135
AAA278O22.genome.CDS.1924,group01081
AAA278O22.genome.CDS.1439,group01053
AAA278O22.genome.CDS.1438,group04236
AAA278O22.genome.CDS.1385,group02697
AAA278O22.genome.CDS.2024,group00331
AAA278O22.genome.CDS.1383,group01280
AAA278O22.genome.CDS.1382,group02910
AAA278O22.genome.CDS.1846,group00631
AAA278O22.genome.CDS.1380,group00934
AAA278O22.genome.CDS.1538,group00354
AAA278O22.genome.CDS.1539,group00134
AAA278O22.genome.CDS.1530,group00407
AAA278O22.genome.CDS.1531,group00249
AAA278O22.genome.CDS.1532,group00471
AAA278O22.genome.CDS.2147,group01026
AAA278O22.genome.CDS.1534,group00012
AAA278O22.genome.CDS.1535,group00392
AAA278O22.genome.CDS.1536,group00275
AAA278O22.genome.CDS.1537,group00785
AAA278O22.genome.CDS.1744,group01013
AAA278O22.genome.CDS.2028,group00831
AAA278O22.genome.CDS.2022,group00360
AAA278O22.genome.CDS.1244,group00096
AAA278O22.genome.CDS.2145,group00357
AAA278O22.genome.CDS.1262,group01046
AAA278O22.genome.CDS.1749,group01634
AAA278O22.genome.CDS.2185,group00384
AAA278O22.genome.CDS.1616,group00950
AAA278O22.genome.CDS.1388,group00071
AAA278O22.genome.CDS.1516,group00271
AAA278O22.genome.CDS.1657,group04256
AAA278O22.genome.CDS.1656,group04257
AAA278O22.genome.CDS.1650,group02259
AAA278O22.genome.CDS.1653,group02259
AAA278O22.genome.CDS.1652,group04259
AAA278O22.genome.CDS.1659,group01652
AAA278O22.genome.CDS.1658,group02474
AAA278O22.genome.CDS.1453,group01015
AAA278O22.genome.CDS.2278,group00341
AAA278O22.genome.CDS.2182,group01139
AAA278O22.genome.CDS.1962,group00754
AAA278O22.genome.CDS.1797,group00013
AAA278O22.genome.CDS.1387,group01821
AAA278O22.genome.CDS.1517,group00239
AAA278O22.genome.CDS.2020,group00079
AAA278O22.genome.CDS.981,group00157
AAA278O22.genome.CDS.1906,group00921
AAA278O22.genome.CDS.1623,group00549
AAA278O22.genome.CDS.1467,group00034
AAA278O22.genome.CDS.1386,group04242
AAA278O22.genome.CDS.2072,group00270
AAA278O22.genome.CDS.2027,group00811
AAA278O22.genome.CDS.2034,group00876
AAA278O22.genome.CDS.1829,group01194
AAA278O22.genome.CDS.1330,group00135
AAA278O22.genome.CDS.625,group01580
AAA278O22.genome.CDS.1929,group01031
AAA278O22.genome.CDS.1461,group02143
AAA278O22.genome.CDS.2118,group01619
AAA278O22.genome.CDS.1793,group01424
AAA278O22.genome.CDS.1378,group00787
AAA278O22.genome.CDS.1379,group00988
AAA278O22.genome.CDS.1376,group01771
AAA278O22.genome.CDS.1377,group00010
AAA278O22.genome.CDS.1374,group01060
AAA278O22.genome.CDS.1375,group02244
AAA278O22.genome.CDS.1372,group01391
AAA278O22.genome.CDS.1373,group01350
AAA278O22.genome.CDS.1370,group01991
AAA278O22.genome.CDS.1371,group02434
AAA278O22.genome.CDS.2157,group00672
AAA278O22.genome.CDS.2156,group01376
AAA278O22.genome.CDS.2155,group01419
AAA278O22.genome.CDS.2154,group00664
AAA278O22.genome.CDS.2153,group00290
AAA278O22.genome.CDS.2152,group00197
AAA278O22.genome.CDS.2151,group00514
AAA278O22.genome.CDS.2150,group00330
AAA278O22.genome.CDS.1888,group00764
AAA278O22.genome.CDS.1794,group01348
AAA278O22.genome.CDS.2159,group01058
AAA278O22.genome.CDS.2158,group00842
AAA278O22.genome.CDS.1704,group00438
AAA278O22.genome.CDS.1273,group00506
AAA278O22.genome.CDS.1306,group01243
AAA278O22.genome.CDS.1305,group01041
AAA278O22.genome.CDS.1277,group00119
AAA278O22.genome.CDS.1276,group00995
AAA278O22.genome.CDS.1275,group00779
AAA278O22.genome.CDS.1274,group00269
AAA278O22.genome.CDS.2063,group02912
AAA278O22.genome.CDS.1272,group00507
AAA278O22.genome.CDS.1271,group00388
AAA278O22.genome.CDS.1270,group00408
AAA278O22.genome.CDS.1599,group00922
AAA278O22.genome.CDS.1416,group00402
AAA278O22.genome.CDS.1279,group00015
AAA278O22.genome.CDS.1278,group00118
AAA278O22.genome.CDS.1189,group00021
AAA278O22.genome.CDS.1188,group01225
AAA278O22.genome.CDS.1452,group01193
AAA278O22.genome.CDS.1185,group00508
AAA278O22.genome.CDS.1184,group02050
AAA278O22.genome.CDS.1187,group00395
AAA278O22.genome.CDS.1186,group00020
AAA278O22.genome.CDS.1181,group04228
AAA278O22.genome.CDS.1180,group00597
AAA278O22.genome.CDS.1183,group00821
AAA278O22.genome.CDS.1182,group00778
AAA278O22.genome.CDS.1871,group00724
AAA278O22.genome.CDS.1437,group00069
AAA278O22.genome.CDS.2062,group00309
AAA278O22.genome.CDS.1872,group01161
AAA278O22.genome.CDS.1875,group00523
AAA278O22.genome.CDS.2076,group00749
AAA278O22.genome.CDS.1877,group00619
AAA278O22.genome.CDS.1876,group00580
AAA278O22.genome.CDS.1879,group00610
AAA278O22.genome.CDS.1878,group00618
AAA278O22.genome.CDS.1841,group00301
AAA278O22.genome.CDS.1899,group00853
AAA278O22.genome.CDS.2259,group00281
AAA278O22.genome.CDS.1804,group00147
AAA278O22.genome.CDS.1773,group00974
AAA278O22.genome.CDS.1806,group00067
AAA278O22.genome.CDS.1771,group00626
AAA278O22.genome.CDS.1800,group00146
AAA278O22.genome.CDS.1801,group00065
AAA278O22.genome.CDS.1774,group00848
AAA278O22.genome.CDS.2019,group01079
AAA278O22.genome.CDS.2016,group00314
AAA278O22.genome.CDS.2017,group00293
AAA278O22.genome.CDS.2014,group00313
AAA278O22.genome.CDS.2015,group00659
AAA278O22.genome.CDS.1808,group00163
AAA278O22.genome.CDS.2013,group00858
AAA278O22.genome.CDS.2010,group00286
AAA278O22.genome.CDS.2011,group00867
AAA278O22.genome.CDS.1574,group00914
AAA278O22.genome.CDS.1575,group00411
AAA278O22.genome.CDS.1576,group00369
AAA278O22.genome.CDS.1577,group00399
AAA278O22.genome.CDS.1570,group00851
AAA278O22.genome.CDS.1730,group00784
AAA278O22.genome.CDS.1572,group00054
AAA278O22.genome.CDS.1573,group00165
AAA278O22.genome.CDS.1475,group00983
AAA278O22.genome.CDS.1474,group01113
AAA278O22.genome.CDS.1477,group00224
AAA278O22.genome.CDS.1476,group04235
AAA278O22.genome.CDS.1471,group00954
AAA278O22.genome.CDS.1470,group01261
AAA278O22.genome.CDS.1473,group00748
AAA278O22.genome.CDS.1472,group01386
AAA278O22.genome.CDS.1987,group01251
AAA278O22.genome.CDS.1986,group01130
AAA278O22.genome.CDS.1981,group00720
AAA278O22.genome.CDS.1980,group00837
AAA278O22.genome.CDS.1983,group00584
AAA278O22.genome.CDS.1982,group00519
AAA278O22.genome.CDS.1989,group01616
AAA278O22.genome.CDS.1988,group01473
AAA278O22.genome.CDS.1442,group00501
AAA278O22.genome.CDS.2218,group00766
AAA278O22.genome.CDS.1598,group02336
AAA278O22.genome.CDS.1597,group00077
AAA278O22.genome.CDS.2209,group00243
AAA278O22.genome.CDS.2350,group00152
AAA278O22.genome.CDS.2207,group00908
AAA278O22.genome.CDS.2206,group04270
AAA278O22.genome.CDS.2205,group00088
AAA278O22.genome.CDS.2204,group00887
AAA278O22.genome.CDS.2203,group00458
AAA278O22.genome.CDS.2202,group00312
AAA278O22.genome.CDS.2201,group00708
AAA278O22.genome.CDS.2200,group00244
AAA278O22.genome.CDS.1978,group01045
AAA278O22.genome.CDS.1500,group00205
AAA278O22.genome.CDS.1503,group00642
AAA278O22.genome.CDS.1502,group00930
AAA278O22.genome.CDS.1505,group00127
AAA278O22.genome.CDS.2139,group04268
AAA278O22.genome.CDS.1507,group00155
AAA278O22.genome.CDS.1506,group00132
AAA278O22.genome.CDS.2333,group00534
AAA278O22.genome.CDS.1971,group00461
AAA278O22.genome.CDS.1972,group00492
AAA278O22.genome.CDS.2330,group04246
AAA278O22.genome.CDS.2337,group00141
AAA278O22.genome.CDS.1975,group00445
AAA278O22.genome.CDS.1976,group00268
AAA278O22.genome.CDS.2334,group00535
AAA278O22.genome.CDS.1691,group04252
AAA278O22.genome.CDS.1690,group00505
AAA278O22.genome.CDS.1693,group00862
AAA278O22.genome.CDS.1678,group01454
AAA278O22.genome.CDS.1695,group00725
AAA278O22.genome.CDS.1694,group00383
AAA278O22.genome.CDS.1697,group01162
AAA278O22.genome.CDS.1696,group00512
AAA278O22.genome.CDS.1699,group00035
AAA278O22.genome.CDS.1698,group00552
AAA278O22.genome.CDS.1974,group00326
AAA278O22.genome.CDS.2287,group00718
AAA278O22.genome.CDS.2286,group00410
AAA278O22.genome.CDS.1498,group00757
AAA278O22.genome.CDS.2284,group00050
AAA278O22.genome.CDS.1426,group00367
AAA278O22.genome.CDS.2328,group01006
AAA278O22.genome.CDS.1951,group00349
AAA278O22.genome.CDS.2282,group00232
AAA278O22.genome.CDS.1670,group01054
AAA278O22.genome.CDS.1968,group00385
AAA278O22.genome.CDS.1514,group00566
AAA278O22.genome.CDS.1602,group00144
AAA278O22.genome.CDS.1603,group00201
AAA278O22.genome.CDS.1600,group00813
AAA278O22.genome.CDS.2280,group00161
AAA278O22.genome.CDS.1606,group00430
AAA278O22.genome.CDS.1607,group01097
AAA278O22.genome.CDS.1604,group01003
AAA278O22.genome.CDS.1605,group04247
AAA278O22.genome.CDS.1048,group00030
AAA278O22.genome.CDS.2349,group00696
AAA278O22.genome.CDS.1339,group00576
AAA278O22.genome.CDS.1904,group00919
AAA278O22.genome.CDS.1907,group00991
AAA278O22.genome.CDS.1243,group01497
AAA278O22.genome.CDS.1233,group01781
AAA278O22.genome.CDS.1232,group00953
AAA278O22.genome.CDS.1231,group02909
AAA278O22.genome.CDS.1230,group01893
AAA278O22.genome.CDS.1237,group01855
AAA278O22.genome.CDS.1236,group02331
AAA278O22.genome.CDS.1235,group01332
AAA278O22.genome.CDS.1234,group01383
AAA278O22.genome.CDS.1239,group02329
AAA278O22.genome.CDS.1238,group02330
AAA278O22.genome.CDS.1851,group00017
AAA278O22.genome.CDS.1643,group01037
AAA278O22.genome.CDS.2321,group00487
AAA278O22.genome.CDS.1285,group00419
AAA278O22.genome.CDS.2322,group00001
AAA278O22.genome.CDS.1496,group00335
AAA278O22.genome.CDS.2323,group02913
AAA278O22.genome.CDS.1240,group02668
AAA278O22.genome.CDS.1447,group00968
AAA278O22.genome.CDS.1494,group00110
AAA278O22.genome.CDS.1683,group00743
AAA278O22.genome.CDS.1420,group02237
AAA278O22.genome.CDS.1282,group00093
AAA278O22.genome.CDS.1788,group01337
AAA278O22.genome.CDS.1390,group00866
AAA278O22.genome.CDS.1731,group00730
AAA278O22.genome.CDS.1935,group01538
AAA278O22.genome.CDS.2138,group01026
AAA278O22.genome.CDS.1392,group02778
AAA278O22.genome.CDS.1283,group00092
