MEint4252.genome.CDS.2288,group00265
MEint4252.genome.CDS.2289,group00061
MEint4252.genome.CDS.2104,group00437
MEint4252.genome.CDS.2301,group00680
MEint4252.genome.CDS.1495,group01042
MEint4252.genome.CDS.2280,group00137
MEint4252.genome.CDS.2281,group00058
MEint4252.genome.CDS.2282,group00194
MEint4252.genome.CDS.2283,group00300
MEint4252.genome.CDS.2284,group00378
MEint4252.genome.CDS.1997,group00038
MEint4252.genome.CDS.2286,group00053
MEint4252.genome.CDS.2287,group00083
MEint4252.genome.CDS.1497,group00478
MEint4252.genome.CDS.2268,group01273
MEint4252.genome.CDS.1490,group00609
MEint4252.genome.CDS.2140,group00640
MEint4252.genome.CDS.1990,group01978
MEint4252.genome.CDS.1656,group00776
MEint4252.genome.CDS.1657,group00842
MEint4252.genome.CDS.1654,group01220
MEint4252.genome.CDS.1655,group01037
MEint4252.genome.CDS.1652,group00009
MEint4252.genome.CDS.1492,group00806
MEint4252.genome.CDS.1650,group00045
MEint4252.genome.CDS.1651,group01120
MEint4252.genome.CDS.1717,group00854
MEint4252.genome.CDS.1716,group00305
MEint4252.genome.CDS.1715,group00234
MEint4252.genome.CDS.1992,group01873
MEint4252.genome.CDS.1713,group00135
MEint4252.genome.CDS.1712,group01028
MEint4252.genome.CDS.1658,group00904
MEint4252.genome.CDS.1659,group00972
MEint4252.genome.CDS.1160,group02249
MEint4252.genome.CDS.1161,group02136
MEint4252.genome.CDS.1162,group02682
MEint4252.genome.CDS.1163,group03251
MEint4252.genome.CDS.1164,group00816
MEint4252.genome.CDS.1165,group02266
MEint4252.genome.CDS.1166,group00857
MEint4252.genome.CDS.1167,group00266
MEint4252.genome.CDS.1168,group00043
MEint4252.genome.CDS.1169,group00504
MEint4252.genome.CDS.1304,group00379
MEint4252.genome.CDS.1306,group00141
MEint4252.genome.CDS.1307,group00737
MEint4252.genome.CDS.1300,group00727
MEint4252.genome.CDS.1301,group00140
MEint4252.genome.CDS.1302,group00026
MEint4252.genome.CDS.1303,group00491
MEint4252.genome.CDS.1498,group00572
MEint4252.genome.CDS.1308,group00634
MEint4252.genome.CDS.1309,group00516
MEint4252.genome.CDS.2108,group00489
MEint4252.genome.CDS.1550,group00268
MEint4252.genome.CDS.2135,group03257
MEint4252.genome.CDS.1552,group00326
MEint4252.genome.CDS.2133,group00712
MEint4252.genome.CDS.2275,group00358
MEint4252.genome.CDS.2274,group00754
MEint4252.genome.CDS.2277,group00449
MEint4252.genome.CDS.2276,group00448
MEint4252.genome.CDS.2271,group01911
MEint4252.genome.CDS.2270,group01077
MEint4252.genome.CDS.2273,group00315
MEint4252.genome.CDS.2272,group00359
MEint4252.genome.CDS.2172,group00286
MEint4252.genome.CDS.2173,group00518
MEint4252.genome.CDS.2170,group00527
MEint4252.genome.CDS.2171,group00107
MEint4252.genome.CDS.2176,group00313
MEint4252.genome.CDS.2177,group00659
MEint4252.genome.CDS.2174,group00867
MEint4252.genome.CDS.2175,group00162
MEint4252.genome.CDS.1461,group00231
MEint4252.genome.CDS.967,group01607
MEint4252.genome.CDS.1573,group00068
MEint4252.genome.CDS.1279,group00084
MEint4252.genome.CDS.1571,group00064
MEint4252.genome.CDS.1570,group02186
MEint4252.genome.CDS.1577,group00456
MEint4252.genome.CDS.1576,group00476
MEint4252.genome.CDS.1575,group00189
MEint4252.genome.CDS.1574,group00047
MEint4252.genome.CDS.1270,group01577
MEint4252.genome.CDS.1271,group01317
MEint4252.genome.CDS.1579,group00143
MEint4252.genome.CDS.1578,group00571
MEint4252.genome.CDS.1274,group01587
MEint4252.genome.CDS.1275,group01303
MEint4252.genome.CDS.1276,group00193
MEint4252.genome.CDS.1277,group00188
MEint4252.genome.CDS.1832,group00756
MEint4252.genome.CDS.1833,group00912
MEint4252.genome.CDS.1830,group00749
MEint4252.genome.CDS.1831,group00185
MEint4252.genome.CDS.1836,group00835
MEint4252.genome.CDS.1621,group00701
MEint4252.genome.CDS.1834,group00676
MEint4252.genome.CDS.1835,group01008
MEint4252.genome.CDS.15,group03234
MEint4252.genome.CDS.1838,group00913
