MEint283.genome.CDS.1178,group00581
MEint283.genome.CDS.1179,group01031
MEint283.genome.CDS.1278,group00513
MEint283.genome.CDS.879,group00485
MEint283.genome.CDS.878,group00143
MEint283.genome.CDS.874,group00189
MEint283.genome.CDS.877,group00571
MEint283.genome.CDS.876,group00456
MEint283.genome.CDS.870,group00064
MEint283.genome.CDS.873,group00047
MEint283.genome.CDS.872,group00068
MEint283.genome.CDS.1194,group00098
MEint283.genome.CDS.1460,group01961
MEint283.genome.CDS.896,group00769
MEint283.genome.CDS.1462,group05009
MEint283.genome.CDS.1463,group02047
MEint283.genome.CDS.1464,group02310
MEint283.genome.CDS.892,group00312
MEint283.genome.CDS.891,group00708
MEint283.genome.CDS.890,group00244
MEint283.genome.CDS.956,group00208
MEint283.genome.CDS.1469,group00010
MEint283.genome.CDS.954,group00309
MEint283.genome.CDS.955,group00273
MEint283.genome.CDS.952,group01670
MEint283.genome.CDS.953,group00274
MEint283.genome.CDS.950,group00157
MEint283.genome.CDS.951,group00121
MEint283.genome.CDS.1415,group00314
MEint283.genome.CDS.1414,group00293
MEint283.genome.CDS.1417,group00313
MEint283.genome.CDS.1416,group00659
MEint283.genome.CDS.1147,group00091
MEint283.genome.CDS.1410,group00332
MEint283.genome.CDS.1413,group00377
MEint283.genome.CDS.1144,group00148
MEint283.genome.CDS.1195,group00097
MEint283.genome.CDS.1148,group00175
MEint283.genome.CDS.1419,group01017
MEint283.genome.CDS.1418,group01259
MEint283.genome.CDS.1385,group05008
MEint283.genome.CDS.1384,group01411
MEint283.genome.CDS.1387,group00965
MEint283.genome.CDS.582,group01770
MEint283.genome.CDS.1068,group00015
MEint283.genome.CDS.1069,group00118
MEint283.genome.CDS.1383,group01443
MEint283.genome.CDS.1382,group00759
MEint283.genome.CDS.1064,group02321
MEint283.genome.CDS.1065,group00093
MEint283.genome.CDS.1066,group00055
MEint283.genome.CDS.1067,group00046
MEint283.genome.CDS.1389,group00468
MEint283.genome.CDS.1061,group00176
MEint283.genome.CDS.1062,group00784
MEint283.genome.CDS.1063,group00730
MEint283.genome.CDS.1489,group01013
MEint283.genome.CDS.1268,group00061
MEint283.genome.CDS.1370,group00347
MEint283.genome.CDS.1540,group00550
MEint283.genome.CDS.1155,group00583
MEint283.genome.CDS.1204,group00266
MEint283.genome.CDS.1205,group01474
MEint283.genome.CDS.1206,group00857
MEint283.genome.CDS.1207,group01366
MEint283.genome.CDS.1200,group00398
MEint283.genome.CDS.1201,group00840
MEint283.genome.CDS.1202,group00454
MEint283.genome.CDS.1203,group00043
MEint283.genome.CDS.1363,group01411
MEint283.genome.CDS.1362,group05005
MEint283.genome.CDS.1361,group00426
MEint283.genome.CDS.1360,group00318
MEint283.genome.CDS.1367,group01373
MEint283.genome.CDS.1366,group01074
MEint283.genome.CDS.1364,group01047
MEint283.genome.CDS.1197,group00072
MEint283.genome.CDS.754,group00179
MEint283.genome.CDS.755,group00855
MEint283.genome.CDS.756,group00649
MEint283.genome.CDS.757,group00429
MEint283.genome.CDS.750,group01021
MEint283.genome.CDS.751,group00913
MEint283.genome.CDS.752,group00238
MEint283.genome.CDS.753,group00180
MEint283.genome.CDS.822,group02771
MEint283.genome.CDS.758,group00260
MEint283.genome.CDS.759,group01027
MEint283.genome.CDS.988,group00289
MEint283.genome.CDS.1190,group00017
MEint283.genome.CDS.820,group00576
MEint283.genome.CDS.1157,group00813
MEint283.genome.CDS.821,group00770
MEint283.genome.CDS.1518,group00726
MEint283.genome.CDS.985,group00495
MEint283.genome.CDS.1106,group00217
MEint283.genome.CDS.1510,group00555
MEint283.genome.CDS.1511,group00018
MEint283.genome.CDS.1512,group00483
MEint283.genome.CDS.1513,group00076
MEint283.genome.CDS.1514,group00185
MEint283.genome.CDS.1515,group00749
MEint283.genome.CDS.1516,group00996
MEint283.genome.CDS.1517,group00650
MEint283.genome.CDS.1104,group00718
MEint283.genome.CDS.1103,group00410
MEint283.genome.CDS.980,group00215
MEint283.genome.CDS.982,group00612
MEint283.genome.CDS.983,group00938
MEint283.genome.CDS.829,group00760
MEint283.genome.CDS.1358,group00477
MEint283.genome.CDS.1210,group00956
MEint283.genome.CDS.474,group00469
MEint283.genome.CDS.903,group00075
MEint283.genome.CDS.1126,group00580
MEint283.genome.CDS.1219,group00176
MEint283.genome.CDS.1218,group00784
MEint283.genome.CDS.830,group00711
MEint283.genome.CDS.783,group00561
MEint283.genome.CDS.782,group00161
MEint283.genome.CDS.781,group00562
MEint283.genome.CDS.780,group00232
MEint283.genome.CDS.787,group00231
MEint283.genome.CDS.786,group00624
MEint283.genome.CDS.785,group00625
MEint283.genome.CDS.784,group00341
MEint283.genome.CDS.789,group00570
MEint283.genome.CDS.788,group00509
MEint283.genome.CDS.967,group00010
MEint283.genome.CDS.1326,group00031
MEint283.genome.CDS.1325,group00405
MEint283.genome.CDS.826,group00324
MEint283.genome.CDS.827,group00701
MEint283.genome.CDS.824,group00714
MEint283.genome.CDS.825,group01215
MEint283.genome.CDS.989,group01123
MEint283.genome.CDS.823,group00768
MEint283.genome.CDS.1109,group01356
MEint283.genome.CDS.1108,group00320
MEint283.genome.CDS.1107,group00206
MEint283.genome.CDS.984,group00007
MEint283.genome.CDS.987,group00006
MEint283.genome.CDS.986,group00325
MEint283.genome.CDS.981,group00002
MEint283.genome.CDS.1102,group00333
MEint283.genome.CDS.1101,group00042
MEint283.genome.CDS.1100,group00746
MEint283.genome.CDS.961,group00150
MEint283.genome.CDS.960,group00129
MEint283.genome.CDS.1327,group00599
MEint283.genome.CDS.966,group00444
MEint283.genome.CDS.965,group00882
MEint283.genome.CDS.964,group00048
MEint283.genome.CDS.963,group00063
MEint283.genome.CDS.962,group00082
MEint283.genome.CDS.1088,group00428
MEint283.genome.CDS.1089,group00828
MEint283.genome.CDS.1086,group00303
MEint283.genome.CDS.1087,group00351
MEint283.genome.CDS.1084,group00112
MEint283.genome.CDS.1085,group00154
MEint283.genome.CDS.1082,group00713
MEint283.genome.CDS.1083,group00661
MEint283.genome.CDS.1080,group00221
MEint283.genome.CDS.968,group00049
MEint283.genome.CDS.1033,group00789
MEint283.genome.CDS.1032,group00883
MEint283.genome.CDS.910,group00665
MEint283.genome.CDS.1030,group00131
MEint283.genome.CDS.916,group00296
MEint283.genome.CDS.1036,group01301
MEint283.genome.CDS.1035,group01277
MEint283.genome.CDS.1034,group00729
MEint283.genome.CDS.1424,group00801
MEint283.genome.CDS.1425,group00946
MEint283.genome.CDS.918,group00297
MEint283.genome.CDS.1038,group01221
MEint283.genome.CDS.1420,group00174
MEint283.genome.CDS.1421,group00285
MEint283.genome.CDS.1422,group00893
MEint283.genome.CDS.1423,group00074
MEint283.genome.CDS.1381,group00503
MEint283.genome.CDS.1329,group00200
MEint283.genome.CDS.765,group00579
MEint283.genome.CDS.1081,group00153
MEint283.genome.CDS.1465,group00071
MEint283.genome.CDS.1289,group01132
MEint283.genome.CDS.912,group00799
MEint283.genome.CDS.913,group00376
MEint283.genome.CDS.1031,group00788
MEint283.genome.CDS.769,group00375
MEint283.genome.CDS.1259,group00037
MEint283.genome.CDS.1258,group00792
MEint283.genome.CDS.1285,group01798
MEint283.genome.CDS.1253,group00771
MEint283.genome.CDS.1428,group00103
MEint283.genome.CDS.1250,group00733
MEint283.genome.CDS.1257,group00643
MEint283.genome.CDS.1256,group00669
MEint283.genome.CDS.1255,group00800
MEint283.genome.CDS.1429,group00209
MEint283.genome.CDS.897,group00964
MEint283.genome.CDS.914,group00252
MEint283.genome.CDS.1461,group02245
MEint283.genome.CDS.939,group00036
MEint283.genome.CDS.915,group00366
MEint283.genome.CDS.895,group00290
MEint283.genome.CDS.894,group00222
MEint283.genome.CDS.893,group00876
MEint283.genome.CDS.1467,group01496
MEint283.genome.CDS.1039,group01075
MEint283.genome.CDS.1426,group00039
MEint283.genome.CDS.1427,group00087
MEint283.genome.CDS.1466,group02476
MEint283.genome.CDS.959,group00976
MEint283.genome.CDS.1468,group00787
MEint283.genome.CDS.957,group00151
MEint283.genome.CDS.899,group00831
MEint283.genome.CDS.898,group00722
MEint283.genome.CDS.1143,group00092
MEint283.genome.CDS.1380,group00094
MEint283.genome.CDS.908,group00915
MEint283.genome.CDS.1141,group00389
MEint283.genome.CDS.1140,group00431
MEint283.genome.CDS.1411,group00360
MEint283.genome.CDS.1146,group00198
MEint283.genome.CDS.1145,group00419
MEint283.genome.CDS.1412,group00498
MEint283.genome.CDS.868,group00677
MEint283.genome.CDS.869,group00276
MEint283.genome.CDS.862,group00772
MEint283.genome.CDS.860,group00336
MEint283.genome.CDS.861,group00601
MEint283.genome.CDS.866,group00998
MEint283.genome.CDS.867,group00703
MEint283.genome.CDS.864,group00277
MEint283.genome.CDS.865,group00355
MEint283.genome.CDS.884,group00295
MEint283.genome.CDS.885,group00371
MEint283.genome.CDS.929,group00396
MEint283.genome.CDS.887,group00172
MEint283.genome.CDS.880,group00630
MEint283.genome.CDS.881,group00591
MEint283.genome.CDS.1475,group01399
MEint283.genome.CDS.1474,group01382
MEint283.genome.CDS.923,group00234
MEint283.genome.CDS.922,group00305
MEint283.genome.CDS.921,group00444
MEint283.genome.CDS.1478,group01269
MEint283.genome.CDS.888,group00145
MEint283.genome.CDS.889,group01004
MEint283.genome.CDS.925,group01028
MEint283.genome.CDS.924,group00135
MEint283.genome.CDS.1176,group00698
MEint283.genome.CDS.1012,group00111
MEint283.genome.CDS.1174,group00644
MEint283.genome.CDS.1175,group00723
MEint283.genome.CDS.1172,group00822
MEint283.genome.CDS.1173,group00005
MEint283.genome.CDS.1170,group00763
MEint283.genome.CDS.1171,group00615
MEint283.genome.CDS.817,group00131
MEint283.genome.CDS.816,group00100
MEint283.genome.CDS.815,group00099
MEint283.genome.CDS.814,group00700
MEint283.genome.CDS.813,group00566
MEint283.genome.CDS.812,group00675
MEint283.genome.CDS.811,group00271
MEint283.genome.CDS.810,group00239
MEint283.genome.CDS.1386,group00553
MEint283.genome.CDS.1079,group00228
MEint283.genome.CDS.1078,group00140
MEint283.genome.CDS.1077,group00408
MEint283.genome.CDS.1076,group00388
MEint283.genome.CDS.1075,group00507
MEint283.genome.CDS.1074,group00506
MEint283.genome.CDS.1073,group00269
MEint283.genome.CDS.1072,group00779
MEint283.genome.CDS.1071,group00995
MEint283.genome.CDS.1070,group00119
MEint283.genome.CDS.1217,group00730
MEint283.genome.CDS.1216,group00052
MEint283.genome.CDS.1215,group00590
MEint283.genome.CDS.1214,group01001
MEint283.genome.CDS.1213,group00668
MEint283.genome.CDS.1212,group01247
MEint283.genome.CDS.1211,group00029
MEint283.genome.CDS.1359,group01195
MEint283.genome.CDS.1356,group01093
MEint283.genome.CDS.1357,group00655
MEint283.genome.CDS.1354,group00218
MEint283.genome.CDS.1355,group00607
MEint283.genome.CDS.1352,group00249
MEint283.genome.CDS.1353,group00407
MEint283.genome.CDS.1350,group00699
MEint283.genome.CDS.1351,group00674
MEint283.genome.CDS.1060,group00979
MEint283.genome.CDS.1388,group00854
MEint283.genome.CDS.761,group00689
MEint283.genome.CDS.763,group00734
MEint283.genome.CDS.762,group00774
MEint283.genome.CDS.1288,group05004
MEint283.genome.CDS.764,group00596
MEint283.genome.CDS.767,group00766
MEint283.genome.CDS.766,group00260
