TBhypo3463.genome.CDS.2345,group00488
TBhypo3463.genome.CDS.1428,group00021
TBhypo3463.genome.CDS.1589,group01308
TBhypo3463.genome.CDS.2271,group01004
TBhypo3463.genome.CDS.1383,group00109
TBhypo3463.genome.CDS.1379,group01033
TBhypo3463.genome.CDS.2273,group00172
TBhypo3463.genome.CDS.1709,group01086
TBhypo3463.genome.CDS.1708,group00750
TBhypo3463.genome.CDS.2455,group00921
TBhypo3463.genome.CDS.1791,group00712
TBhypo3463.genome.CDS.1705,group00578
TBhypo3463.genome.CDS.395,group00864
TBhypo3463.genome.CDS.1707,group00455
TBhypo3463.genome.CDS.1706,group00654
TBhypo3463.genome.CDS.1701,group00525
TBhypo3463.genome.CDS.1700,group01717
TBhypo3463.genome.CDS.1703,group00049
TBhypo3463.genome.CDS.1384,group00317
TBhypo3463.genome.CDS.2076,group00390
TBhypo3463.genome.CDS.2077,group01048
TBhypo3463.genome.CDS.2074,group00397
TBhypo3463.genome.CDS.2075,group00486
TBhypo3463.genome.CDS.2072,group00537
TBhypo3463.genome.CDS.2276,group00744
TBhypo3463.genome.CDS.2070,group01601
TBhypo3463.genome.CDS.2071,group00829
TBhypo3463.genome.CDS.1900,group00117
TBhypo3463.genome.CDS.2370,group00492
TBhypo3463.genome.CDS.2373,group00445
TBhypo3463.genome.CDS.1386,group00090
TBhypo3463.genome.CDS.2375,group00564
TBhypo3463.genome.CDS.2374,group00268
TBhypo3463.genome.CDS.2078,group00263
TBhypo3463.genome.CDS.1670,group00878
TBhypo3463.genome.CDS.1271,group01424
TBhypo3463.genome.CDS.1420,group00374
TBhypo3463.genome.CDS.1273,group01712
TBhypo3463.genome.CDS.1320,group00616
TBhypo3463.genome.CDS.1275,group04804
TBhypo3463.genome.CDS.2176,group00785
TBhypo3463.genome.CDS.2179,group01213
TBhypo3463.genome.CDS.1421,group00393
TBhypo3463.genome.CDS.2177,group01325
TBhypo3463.genome.CDS.2216,group02606
TBhypo3463.genome.CDS.2175,group00678
TBhypo3463.genome.CDS.1849,group00067
TBhypo3463.genome.CDS.2173,group00818
TBhypo3463.genome.CDS.2172,group01115
TBhypo3463.genome.CDS.2171,group02600
TBhypo3463.genome.CDS.2217,group01636
TBhypo3463.genome.CDS.1631,group01649
TBhypo3463.genome.CDS.2029,group00470
TBhypo3463.genome.CDS.1633,group00448
TBhypo3463.genome.CDS.1632,group01111
TBhypo3463.genome.CDS.1635,group00387
TBhypo3463.genome.CDS.1634,group00449
TBhypo3463.genome.CDS.1637,group01389
TBhypo3463.genome.CDS.1636,group02589
TBhypo3463.genome.CDS.1639,group00524
TBhypo3463.genome.CDS.1638,group00986
TBhypo3463.genome.CDS.2200,group01654
TBhypo3463.genome.CDS.573,group01238
TBhypo3463.genome.CDS.1346,group00078
TBhypo3463.genome.CDS.1468,group00056
TBhypo3463.genome.CDS.1277,group00010
TBhypo3463.genome.CDS.1329,group00916
TBhypo3463.genome.CDS.2108,group00506
TBhypo3463.genome.CDS.2109,group00269
TBhypo3463.genome.CDS.1977,group01505
TBhypo3463.genome.CDS.2102,group00443
TBhypo3463.genome.CDS.2103,group00272
TBhypo3463.genome.CDS.2100,group00403
TBhypo3463.genome.CDS.2101,group00212
TBhypo3463.genome.CDS.2106,group00388
TBhypo3463.genome.CDS.2107,group00507
TBhypo3463.genome.CDS.2104,group00380
TBhypo3463.genome.CDS.2105,group00408
TBhypo3463.genome.CDS.1549,group00389
TBhypo3463.genome.CDS.2148,group00529
TBhypo3463.genome.CDS.2211,group00500
TBhypo3463.genome.CDS.1518,group04795
TBhypo3463.genome.CDS.353,group01237
TBhypo3463.genome.CDS.2519,group01581
TBhypo3463.genome.CDS.2518,group00339
TBhypo3463.genome.CDS.1519,group04796
TBhypo3463.genome.CDS.2515,group01047
TBhypo3463.genome.CDS.2514,group01700
TBhypo3463.genome.CDS.2517,group01125
TBhypo3463.genome.CDS.2516,group01102
TBhypo3463.genome.CDS.2511,group04782
TBhypo3463.genome.CDS.2522,group01071
TBhypo3463.genome.CDS.2513,group01074
TBhypo3463.genome.CDS.2512,group04783
TBhypo3463.genome.CDS.1793,group01352
TBhypo3463.genome.CDS.1340,group01541
TBhypo3463.genome.CDS.1704,group00114
TBhypo3463.genome.CDS.2149,group00038
TBhypo3463.genome.CDS.2,group01355
TBhypo3463.genome.CDS.2073,group01011
TBhypo3463.genome.CDS.2472,group00893
TBhypo3463.genome.CDS.2202,group01881
TBhypo3463.genome.CDS.1381,group00974
TBhypo3463.genome.CDS.1472,group04790
TBhypo3463.genome.CDS.1246,group01867
TBhypo3463.genome.CDS.1578,group00849
TBhypo3463.genome.CDS.1097,group00996
TBhypo3463.genome.CDS.1525,group00569
TBhypo3463.genome.CDS.2443,group00107
TBhypo3463.genome.CDS.2456,group00991
TBhypo3463.genome.CDS.1470,group00570
TBhypo3463.genome.CDS.1521,group00796
TBhypo3463.genome.CDS.2451,group00861
TBhypo3463.genome.CDS.2452,group00885
TBhypo3463.genome.CDS.1522,group01059
TBhypo3463.genome.CDS.1684,group01222
TBhypo3463.genome.CDS.1685,group01796
TBhypo3463.genome.CDS.1686,group00942
TBhypo3463.genome.CDS.1702,group00255
TBhypo3463.genome.CDS.1529,group00126
TBhypo3463.genome.CDS.1681,group01249
TBhypo3463.genome.CDS.852,group02612
TBhypo3463.genome.CDS.1683,group02590
TBhypo3463.genome.CDS.2379,group00519
TBhypo3463.genome.CDS.1964,group01335
TBhypo3463.genome.CDS.1513,group00139
TBhypo3463.genome.CDS.2378,group00720
TBhypo3463.genome.CDS.2447,group00873
TBhypo3463.genome.CDS.1362,group00134
TBhypo3463.genome.CDS.2446,group00872
TBhypo3463.genome.CDS.1828,group01418
TBhypo3463.genome.CDS.1829,group01142
TBhypo3463.genome.CDS.2024,group00568
TBhypo3463.genome.CDS.1824,group00910
TBhypo3463.genome.CDS.1825,group01007
TBhypo3463.genome.CDS.1826,group01584
TBhypo3463.genome.CDS.1827,group01548
TBhypo3463.genome.CDS.1820,group00017
TBhypo3463.genome.CDS.1821,group00702
TBhypo3463.genome.CDS.1822,group00018
TBhypo3463.genome.CDS.1823,group01428
TBhypo3463.genome.CDS.1891,group00644
TBhypo3463.genome.CDS.1890,group00005
TBhypo3463.genome.CDS.1893,group00698
TBhypo3463.genome.CDS.1892,group00723
TBhypo3463.genome.CDS.1895,group01096
TBhypo3463.genome.CDS.1894,group01234
TBhypo3463.genome.CDS.1897,group00686
TBhypo3463.genome.CDS.1896,group01150
TBhypo3463.genome.CDS.1950,group01212
TBhypo3463.genome.CDS.1951,group01113
TBhypo3463.genome.CDS.1952,group01213
TBhypo3463.genome.CDS.1953,group04814
TBhypo3463.genome.CDS.1954,group00784
TBhypo3463.genome.CDS.1955,group00730
TBhypo3463.genome.CDS.1956,group00590
TBhypo3463.genome.CDS.1957,group01001
TBhypo3463.genome.CDS.1459,group00618
TBhypo3463.genome.CDS.1458,group00610
TBhypo3463.genome.CDS.1354,group00240
TBhypo3463.genome.CDS.1355,group00225
TBhypo3463.genome.CDS.2205,group01996
TBhypo3463.genome.CDS.1353,group00027
TBhypo3463.genome.CDS.1350,group00204
TBhypo3463.genome.CDS.1351,group00450
TBhypo3463.genome.CDS.2209,group01138
TBhypo3463.genome.CDS.2208,group01056
TBhypo3463.genome.CDS.1453,group00247
TBhypo3463.genome.CDS.1452,group00371
TBhypo3463.genome.CDS.1455,group00793
TBhypo3463.genome.CDS.1454,group01231
TBhypo3463.genome.CDS.1371,group01210
TBhypo3463.genome.CDS.1456,group00496
TBhypo3463.genome.CDS.1382,group01034
TBhypo3463.genome.CDS.2372,group00326
TBhypo3463.genome.CDS.1239,group00978
TBhypo3463.genome.CDS.77,group02332
TBhypo3463.genome.CDS.1235,group00234
TBhypo3463.genome.CDS.1234,group00305
TBhypo3463.genome.CDS.1237,group00135
TBhypo3463.genome.CDS.1236,group00646
TBhypo3463.genome.CDS.1231,group01288
TBhypo3463.genome.CDS.1230,group01233
TBhypo3463.genome.CDS.1233,group00854
TBhypo3463.genome.CDS.1232,group01645
TBhypo3463.genome.CDS.2329,group02119
TBhypo3463.genome.CDS.2377,group00837
TBhypo3463.genome.CDS.2079,group00756
TBhypo3463.genome.CDS.2019,group02319
TBhypo3463.genome.CDS.2258,group00776
TBhypo3463.genome.CDS.2334,group01553
TBhypo3463.genome.CDS.2337,group01294
TBhypo3463.genome.CDS.2336,group02124
TBhypo3463.genome.CDS.2331,group02121
TBhypo3463.genome.CDS.2330,group02120
TBhypo3463.genome.CDS.2333,group02123
TBhypo3463.genome.CDS.2473,group00074
TBhypo3463.genome.CDS.1930,group00731
TBhypo3463.genome.CDS.2417,group01408
TBhypo3463.genome.CDS.2339,group01167
TBhypo3463.genome.CDS.2338,group01192
TBhypo3463.genome.CDS.754,group04819
TBhypo3463.genome.CDS.1948,group00010
TBhypo3463.genome.CDS.1272,group01711
TBhypo3463.genome.CDS.753,group00167
TBhypo3463.genome.CDS.1659,group00271
TBhypo3463.genome.CDS.2476,group00039
TBhypo3463.genome.CDS.1546,group00191
TBhypo3463.genome.CDS.1774,group00735
TBhypo3463.genome.CDS.2326,group01552
TBhypo3463.genome.CDS.1776,group00620
TBhypo3463.genome.CDS.1777,group00798
TBhypo3463.genome.CDS.1770,group00705
TBhypo3463.genome.CDS.1545,group00142
TBhypo3463.genome.CDS.1772,group00704
TBhypo3463.genome.CDS.2327,group02117
TBhypo3463.genome.CDS.1276,group04808
TBhypo3463.genome.CDS.1778,group00736
TBhypo3463.genome.CDS.1779,group00889
TBhypo3463.genome.CDS.1279,group00356
TBhypo3463.genome.CDS.2325,group02325
TBhypo3463.genome.CDS.1679,group00510
TBhypo3463.genome.CDS.1678,group00046
TBhypo3463.genome.CDS.1658,group00239
TBhypo3463.genome.CDS.1278,group00537
TBhypo3463.genome.CDS.1675,group00912
TBhypo3463.genome.CDS.1674,group00676
TBhypo3463.genome.CDS.1677,group00055
TBhypo3463.genome.CDS.1676,group00093
TBhypo3463.genome.CDS.1981,group01002
TBhypo3463.genome.CDS.1673,group01008
TBhypo3463.genome.CDS.1672,group00835
TBhypo3463.genome.CDS.2146,group01423
