AAA023J06.genome.CDS.1337,group00850
AAA023J06.genome.CDS.1336,group00797
AAA023J06.genome.CDS.1335,group00391
AAA023J06.genome.CDS.1334,group00589
AAA023J06.genome.CDS.1333,group00651
AAA023J06.genome.CDS.1332,group00054
AAA023J06.genome.CDS.1331,group00165
AAA023J06.genome.CDS.1330,group03738
AAA023J06.genome.CDS.1339,group00325
AAA023J06.genome.CDS.1338,group00495
AAA023J06.genome.CDS.1226,group01404
AAA023J06.genome.CDS.870,group01310
AAA023J06.genome.CDS.978,group00900
AAA023J06.genome.CDS.174,group01655
AAA023J06.genome.CDS.177,group01462
AAA023J06.genome.CDS.1209,group00149
AAA023J06.genome.CDS.1208,group00898
AAA023J06.genome.CDS.1203,group01184
AAA023J06.genome.CDS.1202,group00399
AAA023J06.genome.CDS.1201,group00369
AAA023J06.genome.CDS.1200,group00411
AAA023J06.genome.CDS.1207,group00108
AAA023J06.genome.CDS.1206,group00937
AAA023J06.genome.CDS.1205,group00167
AAA023J06.genome.CDS.1204,group01230
AAA023J06.genome.CDS.705,group03773
AAA023J06.genome.CDS.1347,group00686
AAA023J06.genome.CDS.739,group03704
AAA023J06.genome.CDS.738,group03705
AAA023J06.genome.CDS.733,group00790
AAA023J06.genome.CDS.732,group01043
AAA023J06.genome.CDS.731,group01122
AAA023J06.genome.CDS.730,group01204
AAA023J06.genome.CDS.737,group02913
AAA023J06.genome.CDS.736,group01938
AAA023J06.genome.CDS.735,group02839
AAA023J06.genome.CDS.734,group03706
AAA023J06.genome.CDS.520,group00588
AAA023J06.genome.CDS.777,group00074
AAA023J06.genome.CDS.776,group00893
AAA023J06.genome.CDS.775,group00285
AAA023J06.genome.CDS.1056,group00931
AAA023J06.genome.CDS.1057,group01518
AAA023J06.genome.CDS.1054,group00768
AAA023J06.genome.CDS.774,group00174
AAA023J06.genome.CDS.1053,group00714
AAA023J06.genome.CDS.1050,group00701
AAA023J06.genome.CDS.1118,group01091
AAA023J06.genome.CDS.1117,group00826
AAA023J06.genome.CDS.1116,group00917
AAA023J06.genome.CDS.1115,group01439
AAA023J06.genome.CDS.1113,group00805
AAA023J06.genome.CDS.1058,group02046
AAA023J06.genome.CDS.1059,group01916
AAA023J06.genome.CDS.816,group00986
AAA023J06.genome.CDS.817,group00524
AAA023J06.genome.CDS.814,group01110
AAA023J06.genome.CDS.815,group01739
AAA023J06.genome.CDS.812,group01504
AAA023J06.genome.CDS.813,group00181
AAA023J06.genome.CDS.810,group00112
AAA023J06.genome.CDS.811,group00524
AAA023J06.genome.CDS.770,group00280
AAA023J06.genome.CDS.818,group00010
AAA023J06.genome.CDS.1066,group00384
AAA023J06.genome.CDS.1500,group03779
AAA023J06.genome.CDS.1501,group01758
AAA023J06.genome.CDS.1502,group01375
AAA023J06.genome.CDS.958,group00368
AAA023J06.genome.CDS.957,group02023
AAA023J06.genome.CDS.956,group00230
AAA023J06.genome.CDS.955,group00365
AAA023J06.genome.CDS.954,group00105
AAA023J06.genome.CDS.953,group00682
AAA023J06.genome.CDS.952,group00663
