TBhypo680.genome.CDS.1780,group01145
TBhypo680.genome.CDS.1781,group01167
TBhypo680.genome.CDS.1549,group00019
TBhypo680.genome.CDS.2574,group00998
TBhypo680.genome.CDS.1784,group00207
TBhypo680.genome.CDS.1785,group00656
TBhypo680.genome.CDS.1787,group02050
TBhypo680.genome.CDS.1788,group00653
TBhypo680.genome.CDS.2262,group00211
TBhypo680.genome.CDS.2225,group00274
TBhypo680.genome.CDS.1782,group01857
TBhypo680.genome.CDS.1561,group00601
TBhypo680.genome.CDS.2172,group01059
TBhypo680.genome.CDS.1378,group00429
TBhypo680.genome.CDS.2170,group00849
TBhypo680.genome.CDS.2171,group00796
TBhypo680.genome.CDS.1880,group00218
TBhypo680.genome.CDS.2177,group00043
TBhypo680.genome.CDS.2182,group01320
TBhypo680.genome.CDS.1371,group00924
TBhypo680.genome.CDS.1370,group00123
TBhypo680.genome.CDS.1373,group00890
TBhypo680.genome.CDS.1372,group00128
TBhypo680.genome.CDS.1375,group00044
TBhypo680.genome.CDS.2181,group01387
TBhypo680.genome.CDS.1377,group00260
TBhypo680.genome.CDS.1376,group00766
TBhypo680.genome.CDS.2477,group01263
TBhypo680.genome.CDS.2476,group01783
TBhypo680.genome.CDS.2475,group01300
TBhypo680.genome.CDS.2474,group00846
TBhypo680.genome.CDS.2473,group01420
TBhypo680.genome.CDS.1309,group00007
TBhypo680.genome.CDS.2471,group01425
TBhypo680.genome.CDS.2470,group00876
TBhypo680.genome.CDS.1656,group00728
TBhypo680.genome.CDS.1937,group00357
TBhypo680.genome.CDS.1306,group00690
TBhypo680.genome.CDS.1655,group00891
TBhypo680.genome.CDS.1652,group03669
TBhypo680.genome.CDS.1653,group00671
TBhypo680.genome.CDS.1302,group00265
TBhypo680.genome.CDS.1303,group00061
TBhypo680.genome.CDS.1965,group00079
TBhypo680.genome.CDS.2578,group00068
TBhypo680.genome.CDS.2579,group00047
TBhypo680.genome.CDS.2576,group00276
TBhypo680.genome.CDS.2577,group00962
TBhypo680.genome.CDS.1928,group00721
TBhypo680.genome.CDS.2575,group00677
TBhypo680.genome.CDS.2572,group00277
TBhypo680.genome.CDS.2573,group00864
