AAA023D18.genome.CDS.1000,27.0
AAA023D18.genome.CDS.1001,25.0
AAA023D18.genome.CDS.1002,23.0
AAA023D18.genome.CDS.1003,51.0
AAA023D18.genome.CDS.1013,23.0
AAA023D18.genome.CDS.1015,15.0
AAA023D18.genome.CDS.1019,5225.0
AAA023D18.genome.CDS.1022,34.0
AAA023D18.genome.CDS.1023,28.0
AAA023D18.genome.CDS.1025,24.0
AAA023D18.genome.CDS.1027,53.0
AAA023D18.genome.CDS.1028,92.0
AAA023D18.genome.CDS.1030,16.0
AAA023D18.genome.CDS.1036,11.0
AAA023D18.genome.CDS.1037,12.0
AAA023D18.genome.CDS.1039,45.0
AAA023D18.genome.CDS.1040,21.0
AAA023D18.genome.CDS.1041,191.0
AAA023D18.genome.CDS.1048,16.0
AAA023D18.genome.CDS.1051,37.0
AAA023D18.genome.CDS.1052,18.0
AAA023D18.genome.CDS.1054,13.0
AAA023D18.genome.CDS.1061,31.0
AAA023D18.genome.CDS.1069,86.0
AAA023D18.genome.CDS.1074,13.0
AAA023D18.genome.CDS.1075,18.0
AAA023D18.genome.CDS.1076,869.0
AAA023D18.genome.CDS.1078,13.0
AAA023D18.genome.CDS.1079,14.0
AAA023D18.genome.CDS.1080,37.0
AAA023D18.genome.CDS.1083,10.0
AAA023D18.genome.CDS.1089,14.0
AAA023D18.genome.CDS.1095,18.0
AAA023D18.genome.CDS.1113,24.0
AAA023D18.genome.CDS.1131,71.0
AAA023D18.genome.CDS.1132,16.0
AAA023D18.genome.CDS.1133,18.0
AAA023D18.genome.CDS.1138,16.0
AAA023D18.genome.CDS.1140,15.0
AAA023D18.genome.CDS.1143,19.0
AAA023D18.genome.CDS.1145,10.0
AAA023D18.genome.CDS.1146,23.0
AAA023D18.genome.CDS.1147,13.0
AAA023D18.genome.CDS.1150,14.0
AAA023D18.genome.CDS.1151,16.0
AAA023D18.genome.CDS.1161,15.0
AAA023D18.genome.CDS.1169,823.0
AAA023D18.genome.CDS.1171,14.0
AAA023D18.genome.CDS.1172,144.0
AAA023D18.genome.CDS.1173,30.0
AAA023D18.genome.CDS.1174,21.0
AAA023D18.genome.CDS.1182,20.0
AAA023D18.genome.CDS.1185,201.0
AAA023D18.genome.CDS.1186,31.0
AAA023D18.genome.CDS.1190,334.0
AAA023D18.genome.CDS.1191,1062.0
AAA023D18.genome.CDS.1192,16.0
AAA023D18.genome.CDS.1200,23.0
AAA023D18.genome.CDS.1201,23.0
AAA023D18.genome.CDS.1203,15.0
AAA023D18.genome.CDS.1204,80.0
AAA023D18.genome.CDS.1205,39.0
AAA023D18.genome.CDS.1206,18.0
AAA023D18.genome.CDS.1207,18.0
AAA023D18.genome.CDS.1208,10.0
AAA023D18.genome.CDS.1231,22.0
AAA023D18.genome.CDS.1250,10.0
AAA023D18.genome.CDS.1252,89.0
AAA023D18.genome.CDS.1258,73.0
AAA023D18.genome.CDS.1260,17.0
AAA023D18.genome.CDS.1264,22.0
AAA023D18.genome.CDS.1265,106.0
AAA023D18.genome.CDS.1266,240.0
AAA023D18.genome.CDS.1269,31.0
AAA023D18.genome.CDS.1270,19.0
AAA023D18.genome.CDS.1271,25.0
AAA023D18.genome.CDS.1279,11.0
AAA023D18.genome.CDS.1285,18.0
AAA023D18.genome.CDS.1290,17.0
AAA023D18.genome.CDS.1314,15.0
AAA023D18.genome.CDS.1316,39.0
AAA023D18.genome.CDS.1317,18.0
AAA023D18.genome.CDS.1327,106.0
AAA023D18.genome.CDS.1328,11.0
AAA023D18.genome.CDS.1343,16.0
AAA023D18.genome.CDS.1344,98.0
AAA023D18.genome.CDS.1345,96.0
AAA023D18.genome.CDS.1349,11.0
AAA023D18.genome.CDS.1350,29.0
AAA023D18.genome.CDS.1351,40.0
AAA023D18.genome.CDS.1355,10.0
AAA023D18.genome.CDS.1358,19.0
AAA023D18.genome.CDS.1359,31.0
AAA023D18.genome.CDS.1361,11.0
AAA023D18.genome.CDS.1364,11.0
AAA023D18.genome.CDS.1367,11.0
AAA023D18.genome.CDS.1369,20.0
AAA023D18.genome.CDS.1372,17.0
AAA023D18.genome.CDS.1373,32.0
AAA023D18.genome.CDS.1374,11.0
AAA023D18.genome.CDS.1375,15.0
AAA023D18.genome.CDS.1377,12.0
AAA023D18.genome.CDS.1383,1838.0
AAA023D18.genome.CDS.1386,13.0
AAA023D18.genome.CDS.1391,31.0
AAA023D18.genome.CDS.1392,19.0
AAA023D18.genome.CDS.1393,21.0
AAA023D18.genome.CDS.1397,13.0
AAA023D18.genome.CDS.1400,13.0
AAA023D18.genome.CDS.1432,88.0
AAA023D18.genome.CDS.1436,34.0
AAA023D18.genome.CDS.1437,27.0
AAA023D18.genome.CDS.1438,40.0
AAA023D18.genome.CDS.1439,35.0
AAA023D18.genome.CDS.1440,27.0
