id	name	formula	charge	aliases
cpd00113	Isopentenyldiphosphate	C5H10O7P2	-2	
cpd02590	all-trans-Heptaprenyl diphosphate	C35H58O7P2	-2	
cpd02557	Farnesylfarnesylgeraniol	C40H66O7P2	-2	
cpd00012	PPi	H2O7P2	-2	
cpd00161	L-Threonine	C4H9NO3	0	
cpd00071	Acetaldehyde	C2H4O	0	
cpd00033	Glycine	C2H5NO2	0	
cpd15672	1-anteisoheptadecanoyl-sn-glycerol 3-phosphate	C20H40O7P	-1	
cpd11434	fa12coa	C38H65N7O17P3S	-3	
cpd15678	1,2-dianteisoheptadecanoyl-sn-glycerol 3-phosphate	C37H72O8P	-1	
cpd00010	CoA	C21H33N7O16P3S	-3	
cpd03671	D-Glucosamine1-phosphate	C6H14NO8P	0	
cpd00067	H+	H	1	
cpd02611	N-Acetyl-D-glucosamine1-phosphate	C8H15NO9P	-1	
cpd00022	Acetyl-CoA	C23H35N7O17P3S	-3	
cpd11420	trdox	C6H7NO2R2S2	0	
cpd00790	O-Acetyl-L-homoserine	C6H11NO4	0	
cpd00135	Homocysteine	C4H9NO2S	0	
cpd00081	Sulfite	HO3S	-1	
cpd00029	Acetate	C2H3O2	-1	
cpd00268	H2S2O3	O3S2	-2	
cpd11421	trdrd	C6H9NO2R2S2	0	
cpd00650	Crotonyl-CoA	C25H37N7O17P3S	-3	
cpd00004	NADH	C21H27N7O14P2	-2	
cpd00003	NAD	C21H26N7O14P2	-1	
cpd00120	Butyryl-CoA	C25H39N7O17P3S	-3	
cpd00060	L-Methionine	C5H11NO2S	0	
cpd00001	H2O	H2O	0	
cpd00035	L-Alanine	C3H7NO2	0	
cpd11590	met-L-ala-L	C8H15N2O3S	-1	
cpd11582	ala-L-Thr-L	C7H14N2O4	0	
cpd00006	NADP	C21H26N7O17P3	-2	
cpd03187	Oxalosuccinate	C6H3O7	-3	
cpd00260	Isocitrate	C6H5O7	-3	
cpd00005	NADPH	C21H27N7O17P3	-3	
cpd00002	ATP	C10H13N5O13P3	-3	
cpd00009	Phosphate	HO4P	-2	
cpd00008	ADP	C10H13N5O10P2	-2	
cpd00156	L-Valine	C5H11NO2	0	
cpd01242	Thyminose	C5H10O4	0	
cpd00036	Succinate	C4H4O4	-2	
cpd15500	Menaquinone 8	C51H72O2	0	
cpd00106	Fumarate	C4H2O4	-2	
cpd15499	Menaquinol 8	C51H74O2	0	
cpd02857	DAHP	C7H11O10P	-2	
cpd00699	5-Dehydroquinate	C7H9O6	-1	
cpd03519	2,5-Diaminopyrimidine nucleoside triphosphate	C9H15N5O14P3	-3	
cpd03518	Formamidopyrimidine nucleoside triphosphate	C10H15N5O15P3	-3	
cpd00047	Formate	CHO2	-1	
cpd00641	L-Histidinol	C6H12N3O	1	
cpd00807	L-histidinol-phosphate	C6H12N3O4P	0	
cpd02187	Methacrylyl-CoA	C25H37N7O17P3S	-3	
cpd00481	Isobutyryl-CoA	C25H39N7O17P3S	-3	
cpd00007	O2	O2	0	
cpd00130	L-Malate	C4H4O5	-2	
cpd00032	Oxaloacetate	C4H2O5	-2	
cpd00180	Oxalate	C2O4	-2	
cpd00040	Glyoxalate	C2HO3	-1	
cpd00346	L-Aspartate4-semialdehyde	C4H7NO3	0	
cpd00227	L-Homoserine	C4H9NO3	0	
cpd02656	6-7-Dimethyl-8--1-D-ribityllumazine	C13H18N4O6	0	
cpd02882	4--1-D-Ribitylamino-5-aminouracil	C9H16N4O6	0	
cpd00220	Riboflavin	C17H20N4O6	0	
cpd00084	L-Cysteine	C3H7NO2S	0	
cpd00424	Cystathionine	C7H14N2O4S	0	
cpd11589	gly-asp-L	C6H9N2O5	-1	
cpd00041	L-Aspartate	C4H6NO4	-1	
cpd00239	H2S	H2S	0	
cpd00102	Glyceraldehyde3-phosphate	C3H6O6P	-1	
cpd00020	Pyruvate	C3H3O3	-1	
cpd08289	1-deoxy-D-xylulose5-phosphate	C5H10O7P	-1	
cpd00011	CO2	CO2	0	
cpd03052	Imidazole acetaldehyde	C5H6N2O	0	
cpd01831	4-Imidazoleacetate	C5H5N2O2	-1	
cpd00061	Phosphoenolpyruvate	C3H3O6P	-2	
cpd00482	2-Phospho-D-glycerate	C3H5O7P	-2	
cpd03572	(S)-3-Hydroxyisobutyryl-CoA	C25H39N7O18P3S	-3	
cpd03205	Phytoene	C40H64	0	
cpd02168	Prephytoene diphosphate	C40H66O7P2	-2	
cpd15682	1,2-diisohexadecanoyl-sn-glycerol 3-phosphate	C35H68O8P	-1	
cpd15688	CDP-1,2-diisohexadecanoylglycerol	C44H79N3O15P2	-2	
cpd00052	CTP	C9H13N3O14P3	-3	
cpd15683	CDP-1,2-diisoheptadecanoylglycerol	C46H83N3O15P2	-2	
cpd00080	Glycerol-3-phosphate	C3H8O6P	-1	
cpd15716	Diisoheptadecanoylphosphatidylglycerophosphate	C40H78O13P2	-2	
cpd00046	CMP	C9H13N3O8P	-1	
cpd15421	CDP-1,2-dioctadecanoylglycerol	C48H87N3O15P2	-2	
cpd15526	1,2-dioctadecanoyl-sn-glycerol 3-phosphate	C39H76O8P	-1	
cpd00038	GTP	C10H13N5O14P3	-3	
cpd02333	Quinolinate	C7H3NO4	-2	
cpd03470	Iminoaspartate	C4H3NO4	-2	
cpd00095	Glycerone-phosphate	C3H6O6P	-1	
cpd02229	Bactoprenyl diphosphate	C55H90O7P2	-2	
cpd15666	Peptidoglycan polymer (n-1 subunits)	C40H63N8O21R	-2	
cpd15665	Peptidoglycan polymer (n subunits)	C80H125N16O42R	-4	
cpd03495	Undecaprenyl-diphospho-N-acetylmuramoyl--N-acetylglucosamine-L-ala-D-glu-meso-2-6-diaminopimeloyl-D-ala-D-ala	C95H152N8O28P2	-4	
cpd03127	(2E)-Tetradecenoyl-CoA	C35H57N7O17P3S	-3	
cpd03115	(S)-3-Hydroxytetradecanoyl-CoA	C35H59N7O18P3S	-3	
cpd00048	Sulfate	O4S	-2	
